Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabl,TargetSyl,PositionSource,Position Target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,va:ˈdo,vuɐˈdoɾ,va:.ˈdo,vu.ɐ.ˈdoɾ,ˈdo,ɐ,2,2,,voador,flying fish,Bandeira2017[366-412],
Angolar,va:ˈdo,vuɐˈdoɾ,va:.ˈdo,vu.ɐ.ˈdoɾ,-,ˈdoɾ,-,3,,voador,flying fish,Bandeira2017[366-412],
Angolar,biˈsigɐ,vɐˈɾiulɐ,biˈ.si.gɐ,vɐˈ.ɾiu.lɐ,biˈ,vɐˈ,1,1,,varíola,variola,Bandeira2017[366-412],
Angolar,biˈsigɐ,vɐˈɾiulɐ,biˈ.si.gɐ,vɐˈ.ɾiu.lɐ,si,ɾiu,2,2,,varíola,variola,Bandeira2017[366-412],
Angolar,biˈsigɐ,vɐˈɾiulɐ,biˈ.si.gɐ,vɐˈ.ɾiu.lɐ,gɐ,lɐ,3,3,,varíola,variola,Bandeira2017[366-412],
Angolar,ˈfɛbɛ,ˈfɛbɾɨ,ˈfɛ.bɛ,ˈfɛ.bɾɨ,ˈfɛ,ˈfɛ,1,1,,febre,fever,Bandeira2017[366-412],
Angolar,ˈfɛbɛ,ˈfɛbɾɨ,ˈfɛ.bɛ,ˈfɛ.bɾɨ,bɛ,bɾɨ,2,2,,febre,fever,Bandeira2017[366-412],
Angolar,ˈfi:dɐ,fɨˈɾidɐ,ˈfi:.dɐ,fɨ.ˈɾi.dɐ,ˈfi:,fɨ,1,1,,ferida,wound,Bandeira2017[366-412],
Angolar,ˈfi:dɐ,fɨˈɾidɐ,ˈfi:.dɐ,fɨ.ˈɾi.dɐ,dɐ,ˈɾi,2,2,,ferida,wound,Bandeira2017[366-412],
Angolar,ˈfi:dɐ,fɨˈɾidɐ,ˈfi:.dɐ,fɨ.ˈɾi.dɐ,-,dɐ,-,3,,ferida,wound,Bandeira2017[366-412],
Angolar,ˈlɛpɐ,ˈlɛpɾɐ,ˈlɛ.pɐ,ˈlɛ.pɾɐ,ˈlɛ,ˈlɛ,1,1,,lepra,leprosy,Bandeira2017[366-412],
Angolar,ˈlɛpɐ,ˈlɛpɾɐ,ˈlɛ.pɐ,ˈlɛ.pɾɐ,pɐ,pɾɐ,2,2,,lepra,leprosy,Bandeira2017[366-412],
Angolar,baˈja,vɐjˈaɾ,ba.ˈja,vɐj.ˈaɾ,ba,vɐj,1,1,,vaiar,curse,Bandeira2017[366-412],
Angolar,baˈja,vɐjˈaɾ,ba.ˈja,vɐj.ˈaɾ,ˈja,ˈaɾ,2,2,,vaiar,curse,Bandeira2017[366-412],
Angolar,baˈli,vɐˈʀeɾ,ba.ˈli,vɐ.ˈʀeɾ,ba,vɐ,1,1,,varrer,sweep,Bandeira2017[366-412],
Angolar,baˈli,vɐˈʀeɾ,ba.ˈli,vɐ.ˈʀeɾ,ˈli,ˈʀeɾ,2,2,,varrer,sweep,Bandeira2017[366-412],
Angolar,ˈbe,ˈveɾ,ˈbe,ˈveɾ,ˈbe,ˈveɾ,1,1,,ver,see,Bandeira2017[366-412],
Angolar,ˈbi,ˈviɾ,ˈbi,ˈviɾ,ˈbi,ˈviɾ,1,1,,vir,come,Bandeira2017[366-412],
Angolar,biˈsi,vɨʃˈtiɾ,bi.ˈsi,vɨʃ.ˈtiɾ,bi,vɨʃ,1,1,,vestir,get dressed,Bandeira2017[366-412],
Angolar,biˈsi,vɨʃˈtiɾ,bi.ˈsi,vɨʃ.ˈtiɾ,ˈsi,ˈtiɾ,2,2,,vestir,get dressed,Bandeira2017[366-412],
Angolar,ˈfa,fɐˈlaɾ,ˈfa,fɐ.ˈlaɾ,ˈfa,fɐ,1,1,,falar,say,Bandeira2017[366-412],
Angolar,ˈfa,fɐˈlaɾ,ˈfa,fɐ.ˈlaɾ,-,ˈlaɾ,-,2,,falar,say,Bandeira2017[366-412],
Angolar,faˈta,falˈtaɾ,fa.ˈta,fal.ˈtaɾ,fa,fal,1,1,,faltar,miss,Bandeira2017[366-412],
Angolar,faˈta,falˈtaɾ,fa.ˈta,fal.ˈtaɾ,ˈta,ˈtaɾ,2,2,,faltar,miss,Bandeira2017[366-412],
Angolar,ˈũfwa,fɨˈdeɾ,ˈũ.fwa,fɨˈ.deɾ,,,,,,feder,stink,Bandeira2017[366-412],
Angolar,fiˈka,fiˈkaɾ,fi.ˈka,fi.ˈkaɾ,fi,fi,1,1,,ficar,stay,Bandeira2017[366-412],
Angolar,fiˈka,fiˈkaɾ,fi.ˈka,fi.ˈkaɾ,ˈka,ˈkaɾ,2,2,,ficar,stay,Bandeira2017[366-412],
Angolar,fɔˈga,fɔlˈgaɾ,fɔ.ˈga,fɔl.ˈgaɾ,fɔ,fɔl,1,1,,folgar,play,Bandeira2017[366-412],
Angolar,fɔˈga,fɔlˈgaɾ,fɔ.ˈga,fɔl.ˈgaɾ,ˈga,ˈgaɾ,2,2,,folgar,play,Bandeira2017[366-412],
Angolar,goˈgo,guʃˈtaɾ,go.ˈgo,guʃ.ˈtaɾ,go,guʃ,1,1,,gostar,like,Bandeira2017[366-412],
Angolar,goˈgo,guʃˈtaɾ,go.ˈgo,guʃ.ˈtaɾ,ˈgo,ˈtaɾ,2,2,,gostar,like,Bandeira2017[366-412],
Angolar,kaˈta,kɐ̃ˈtaɾ,ka.ˈta,kɐ̃.ˈtaɾ,ka,kɐ̃,1,1,,cantar,sing,Bandeira2017[366-412],
Angolar,kaˈta,kɐ̃ˈtaɾ,ka.ˈta,kɐ̃.ˈtaɾ,ˈta,ˈtaɾ,2,2,,cantar,sing,Bandeira2017[366-412],
Angolar,kaˈða,kɐˈzaɾ,ka.ˈða,kɐ.ˈzaɾ,ka,kɐ,1,1,,casar,marry,Bandeira2017[366-412],
Angolar,kaˈða,kɐˈzaɾ,ka.ˈða,kɐ.ˈzaɾ,ˈða,ˈzaɾ,2,2,,casar,marry,Bandeira2017[366-412],
Angolar,keˈle,ˈkɾeɾ,ke.ˈle,ˈkɾeɾ,ke,ˈkɾeɾ,1,1,,crer,believe,Bandeira2017[366-412],
Angolar,keˈle,ˈkɾeɾ,ke.ˈle,ˈkɾeɾ,ˈle,-,2,-,,crer,believe,Bandeira2017[366-412],
Angolar,kɛˈma,kejˈmaɾ,kɛ.ˈma,kej.ˈmaɾ,kɛ,kej,1,1,,queimar,burn,Bandeira2017[366-412],
Angolar,kɛˈma,kejˈmaɾ,kɛ.ˈma,kej.ˈmaɾ,ˈma,ˈmaɾ,2,2,,queimar,burn,Bandeira2017[366-412],
Angolar,ˈkje,kɐˈiɾ,ˈkje,kɐ.ˈiɾ,ˈkje,kɐ,1,1,,cair,fall,Bandeira2017[366-412],
Angolar,ˈkje,kɐˈiɾ,ˈkje,kɐ.ˈiɾ,-,ˈiɾ,-,2,,cair,fall,Bandeira2017[366-412],
Angolar,keˈse,kɾɨʃˈseɾ,ke.ˈse,kɾɨʃ.ˈseɾ,ke,kɾɨʃ,1,1,,crescer,grow,Bandeira2017[366-412],
Angolar,keˈse,kɾɨʃˈseɾ,ke.ˈse,kɾɨʃ.ˈseɾ,ˈse,ˈseɾ,2,2,,crescer,grow,Bandeira2017[366-412],
Angolar,kuˈje,kuˈʎeɾ,ku.ˈje,ku.ˈʎeɾ,ku,ku,1,1,,colher,harvest,Bandeira2017[366-412],
Angolar,kuˈje,kuˈʎeɾ,ku.ˈje,ku.ˈʎeɾ,ˈje,ˈʎeɾ,2,2,,colher,harvest,Bandeira2017[366-412],
Angolar,koˈle,kuʀeɾ,ko.ˈle,ku.ʀeɾ,ko,ku,1,1,,correr,run,Bandeira2017[366-412],
Angolar,koˈle,kuʀeɾ,ko.ˈle,ku.ʀeɾ,ˈle,ʀeɾ,2,2,,correr,run,Bandeira2017[366-412],
Angolar,kɔˈta,kuɾˈtaɾ,kɔ.ˈta,kuɾ.ˈtaɾ,kɔ,kuɾ,1,1,,cortar,cut,Bandeira2017[366-412],
Angolar,kɔˈta,kuɾˈtaɾ,kɔ.ˈta,kuɾ.ˈtaɾ,ˈta,ˈtaɾ,2,2,,cortar,cut,Bandeira2017[366-412],
Angolar,kɔˈθa,kuˈsaɾ,kɔ.ˈθa,ku.ˈsaɾ,kɔ,ku,1,1,,coçar,scratch,Bandeira2017[366-412],
Angolar,kɔˈθa,kuˈsaɾ,kɔ.ˈθa,ku.ˈsaɾ,ˈθa,ˈsaɾ,2,2,,coçar,scratch,Bandeira2017[366-412],
Angolar,koˈðe,kuˈzeɾ,ko.ˈðe,ku.ˈzeɾ,ko,ku,1,1,,coser,sew,Bandeira2017[366-412],
Angolar,koˈðe,kuˈzeɾ,ko.ˈðe,ku.ˈzeɾ,ˈðe,ˈzeɾ,2,2,,coser,sew,Bandeira2017[366-412],
Angolar,ˈmɛ,kuˈmeɾ,ˈmɛ,ku.ˈmeɾ,ˈmɛ,ku,1,1,,comer,eat,Bandeira2017[366-412],
