Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Papia Kristang,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,kor,ku,1,1,metathesis,coração,heart,Baxter1990[7-21],
Papia Kristang,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,-,ɾɐ,-,2,,coração,heart,Baxter1990[7-21],
Papia Kristang,korˈsaŋ,kuɾɐˈsɐ̃w̃,kor.ˈsaŋ,ku.ɾɐ.ˈsɐ̃w̃,ˈsaŋ,ˈsɐ̃w̃,2,3,,coração,heart,Baxter1990[7-21],
Papia Kristang,ˈkɛnti,ˈkẽtɨ,ˈkɛn.ti,ˈkẽ.tɨ,ˈkɛn,ˈkẽ,1,1,,quente,hot,Baxter2004,
Papia Kristang,ˈkɛnti,ˈkẽtɨ,ˈkɛn.ti,ˈkẽ.tɨ,ti,tɨ,2,2,,quente,hot,Baxter2004,
Papia Kristang,jo,ew,jo,ew,jo,ew,1,1,,eu,I,Baxter1990[7-21],
Papia Kristang,sanˈde,ɐsẽˈdeɾ,san.ˈde,ɐ.sẽ.ˈdeɾ,-,ɐ,-,1,,acender,ignite,Baxter1990[7-21],
Papia Kristang,sanˈde,ɐsẽˈdeɾ,san.ˈde,ɐ.sẽ.ˈdeɾ,san,sẽ,1,2,,acender,ignite,Baxter1990[7-21],
Papia Kristang,sanˈde,ɐsẽˈdeɾ,san.ˈde,ɐ.sẽ.ˈdeɾ,ˈde,ˈdeɾ,2,3,,acender,ignite,Baxter1990[7-21],
Papia Kristang,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ˈfe,ˈfɛ,1,1,,ferro,iron,Baxter1990[7-21],
Papia Kristang,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ru,ʀu,2,2,,ferro,iron,Baxter1990[7-21],
Papia Kristang,saˈbe,sɐˈbeɾ,sa.ˈbe,sɐ.ˈbeɾ,sa,sɐ,1,1,,saber,know,Baxter2004,
Papia Kristang,saˈbe,sɐˈbeɾ,sa.ˈbe,sɐ.ˈbeɾ,ˈbe,ˈbeɾ,2,2,,saber,know,Baxter2004,
Papia Kristang,ri,ˈʀiɾ,ri,ˈʀiɾ,ri,ˈʀiɾ,1,1,,rir,laugh,Baxter1990[7-21],
Papia Kristang,ˈfola,ˈfoʎɐ,ˈfo.la,ˈfo.ʎɐ,ˈfo,ˈfo,1,1,,folha,leaf,Baxter2004,
Papia Kristang,ˈfola,ˈfoʎɐ,ˈfo.la,ˈfo.ʎɐ,ˈla,ʎɐ,2,2,,folha,leaf,Baxter2004,
Papia Kristang,prenˈde,prẽˈdeɾ,pren.ˈde,prẽ.ˈdeɾ,pren,prẽ,1,1,,prender,"learn, teach",Baxter1990[7-21],
Papia Kristang,prenˈde,prẽˈdeɾ,pren.ˈde,prẽ.ˈdeɾ,ˈde,ˈdeɾ,2,2,,prender,"learn, teach",Baxter1990[7-21],
Papia Kristang,saˈi,sɐˈiɾ,sa.ˈi,sɐ.ˈiɾ,sa,sɐ,1,1,,sair,leave,Baxter1990[7-21],
Papia Kristang,saˈi,sɐˈiɾ,sa.ˈi,sɐ.ˈiɾ,ˈi,ˈiɾ,2,2,,sair,leave,Baxter1990[7-21],
Papia Kristang,ˈbesu,bɐjˈsu,ˈbe.su,bɐj.ˈsu,ˈbe,bɐj,1,1,,beiço,lip,Baxter1990[7-21],
Papia Kristang,ˈbesu,bɐjˈsu,ˈbe.su,bɐj.ˈsu,su,ˈsu,2,2,,beiço,lip,Baxter1990[7-21],
