Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,ˈbesu,ˈbɐjʒu,ˈbe.su,ˈbɐj.ʒu,su,ʒu,2,2,2,2,Final,Final,ˈbe,2,ˈbɐj,2,,beiço,lip,Baxter1990[7-21],
Timor Pidgin,ˈleti,ˈlɐjtɨ,ˈle.ti,ˈlɐj.tɨ,ˈle,ˈlɐj,2,2,1,1,Initial,Initial,0,ti,0,tɨ,,leite,milk,Baxter1990[7-21],
Timor Pidgin,ˈleti,ˈlɐjtɨ,ˈle.ti,ˈlɐj.tɨ,ti,tɨ,2,2,2,2,Final,Final,ˈle,2,ˈlɐj,2,,leite,milk,Baxter1990[7-21],
Timor Pidgin,muˈjεr,muˈʎεɾ,mu.ˈjεr,mu.ˈʎεɾ,mu,mu,2,2,1,1,Initial,Initial,0,ˈjεr,0,ˈʎεɾ,,mulher,"woman, wife",Baxter1990[7-21],
Timor Pidgin,muˈjεr,muˈʎεɾ,mu.ˈjεr,mu.ˈʎεɾ,ˈjεr,ˈʎεɾ,2,2,2,2,Final,Final,mu,2,mu,2,,mulher,"woman, wife",Baxter1990[7-21],
Timor Pidgin,ˈɔju,ˈoʎu,ˈɔ.ju,ˈo.ʎu,ˈɔ,ˈo,2,2,1,1,Initial,Initial,0,ju,0,ʎu,,olho,eye,Baxter1990[7-21],
Timor Pidgin,ˈɔju,ˈoʎu,ˈɔ.ju,ˈo.ʎu,ju,ʎu,2,2,2,2,Final,Final,ˈɔ,2,ˈo,2,,olho,eye,Baxter1990[7-21],
Timor Pidgin,ˈdad̠ʒi,ˈdaʎɨ,ˈda.d̠ʒi,ˈda.ʎɨ,ˈda,ˈda,2,2,1,1,Initial,Initial,0,d̠ʒi,0,ʎɨ,,dá-lhe,strike,Baxter1990[7-21],
Timor Pidgin,ˈdad̠ʒi,ˈdaʎɨ,ˈda.d̠ʒi,ˈda.ʎɨ,d̠ʒi,ʎɨ,2,2,2,2,Final,Final,ˈda,2,ˈda,2,,dá-lhe,strike,Baxter1990[7-21],
Timor Pidgin,ˈɔja,ɔˈʎaɾ,ˈɔ.ja,ɔ.ˈʎaɾ,ˈɔ,ɔ,2,2,1,1,Initial,Initial,0,ja,0,ˈʎaɾ,,olhar,"look, see",Baxter1990[7-21],
Timor Pidgin,ˈɔja,ɔˈʎaɾ,ˈɔ.ja,ɔ.ˈʎaɾ,ja,ˈʎaɾ,2,2,2,2,Final,Final,ˈɔ,2,ɔ,2,,olhar,"look, see",Baxter1990[7-21],
Timor Pidgin,ˈaju,ˈaʎu,ˈa.ju,ˈa.ʎu,ˈa,ˈa,2,2,1,1,Initial,Initial,0,ju,0,ʎu,,alho,garlic,Baxter1990[7-21],
Timor Pidgin,ˈaju,ˈaʎu,ˈa.ju,ˈa.ʎu,ju,ʎu,2,2,2,2,Final,Final,ˈa,2,ˈa,2,,alho,garlic,Baxter1990[7-21],
Timor Pidgin,eu,ew,eu,ew,eu,ew,1,1,1,1,Final,Final,0,1,0,1,,eu,I,Baxter1990[7-21],
Timor Pidgin,bos,ˈvɔʃ,bos,ˈvɔʃ,bos,ˈvɔʃ,1,1,1,1,Final,Final,0,1,0,1,,você,thou,Baxter1990[7-21],
Timor Pidgin,eli,ˈelɨ,e.li,ˈe.lɨ,e,e,2,2,1,1,Initial,Initial,0,li,0,lɨ,,ele,he,Baxter1990[7-21],
Timor Pidgin,eli,ˈelɨ,e.li,ˈe.lɨ,li,lɨ,2,2,2,2,Final,Final,e,2,e,2,,ele,he,Baxter1990[7-21],
Timor Pidgin,nos,ˈnɔʃ,nos,ˈnɔʃ,nos,ˈnɔʃ,1,1,1,1,Final,Final,0,1,0,1,,nós,we,Baxter1990[7-21],
Timor Pidgin,bos,ˈvɔʃ,bos,ˈvɔʃ,bos,ˈvɔʃ,1,1,1,1,Final,Final,0,1,0,1,,vós,thou,Baxter1990[7-21],
Timor Pidgin,oˈlotu,,oˈlotu,,,,1,1,,,#N/A,#N/A,0,,0,,,eles,they,Baxter1990[7-21],Not cognate
Timor Pidgin,ˈnuŋka,ˈnũkɐ,ˈnuŋ.ka,ˈnũ.kɐ,ˈnuŋ,ˈnũ,2,2,1,1,Initial,Initial,0,ka,0,kɐ,assimilation,nunca,no,Baxter1990[7-21],
Timor Pidgin,ˈnuŋka,ˈnũkɐ,ˈnuŋ.ka,ˈnũ.kɐ,ka,kɐ,2,2,2,2,Final,Final,ˈnuŋ,2,ˈnũ,2,,nunca,no,Baxter1990[7-21],
Timor Pidgin,nunˈte,ˈnɐ̃w̃ˈtãj̃,nun.ˈte,ˈnɐ̃w̃.ˈtãj̃,nun,ˈnɐ̃w̃,2,2,1,1,Initial,Initial,0,ˈte,0,tãj̃,,não tem,not have,Baxter1990[7-21],
Timor Pidgin,nunˈte,ˈnɐ̃w̃ˈtãj̃,nun.ˈte,ˈnɐ̃w̃.ˈtãj̃,ˈte,tãj̃,2,2,2,2,Final,Final,nun,2,ˈnɐ̃w̃,2,,não tem,not have,Baxter1990[7-21],
