Language;SourceWord;TargetWord;SourceWord Syl;TargetWord Syl;NumberSylsource;NumberSylTarget;SourceSyllable;TargetSyllable;PositionSource;PositionTarget;Simple PositionSource;Simple PositionTarget;process;TargetOrthography;Translation;Reference;Notes
Korlai;d̠ʒus;ˈʒuʃtu;d̠ʒus;ˈʒuʃ.tu;1;2;d̠ʒus;ʒuʃ;1;1;Initial;Initial;;justo;correct;Clements2012[37-143];
Korlai;d̠ʒus;ˈʒuʃtu;d̠ʒus;ˈʒuʃ.tu;1;2;-;tu;-;2;-;Medial;;justo;correct;Clements2012[37-144];
Korlai;kami;kɐˈmiɲu;ka.mi;kɐˈmi.ɲu;2;3;ka;kɐ;1;1;Initial;Initial;;caminho;road;Clements2012[37-145];
Korlai;kami;kɐˈmiɲu;ka.mi;kɐˈmi.ɲu;2;3;-;mi;-;2;-;Medial;;caminho;road;Clements2012[37-146];
Korlai;kami;kɐˈmiɲu;ka.mi;kɐˈmi.ɲu;2;3;mi;ɲu;2;3;Medial;Medial;;caminho;road;Clements2012[37-147];
Korlai;kɔɾd;ˈkɔɾdɐ;kɔɾd;ˈkɔɾ.dɐ;1;2;kɔɾd;kɔɾ;1;1;Initial;Initial;;corda;rope;Clements2012[37-148];
Korlai;kɔɾd;ˈkɔɾdɐ;kɔɾd;ˈkɔɾ.dɐ;1;2;-;dɐ;-;2;-;Medial;;corda;rope;Clements2012[37-149];
Korlai;sal;ˈsal;sal;ˈsal;1;1;sal;sal;1;1;Initial;Initial;;sal;salt;Clements2012[37-150];
Korlai;hala;fɐˈlaɾ;ha.la;fɐ.ˈlaɾ;2;2;ha;fɐ;1;1;Initial;Initial;;falar;say;Clements2012[37-151];
Korlai;hala;fɐˈlaɾ;ha.la;fɐ.ˈlaɾ;2;2;la;laɾ;2;2;Medial;Medial;;falar;say;Clements2012[37-152];
Korlai;maɾ;ˈmaɾ;maɾ;ˈmaɾ;1;1;maɾ;ˈmaɾ;1;1;Initial;Initial;;mar;sea;Clements2012[37-153];
Korlai;paɾse;pɐɾɨˈseɾ;paɾ.se;pɐ.ɾɨ.ˈseɾ;2;3;paɾ;pɐ;1;1;Initial;Initial;;parecer;see;Clements2012[37-154];
Korlai;paɾse;pɐɾɨˈseɾ;paɾ.se;pɐ.ɾɨ.ˈseɾ;2;3;-;ɾɨ;-;2;-;Medial;;parecer;see;Clements2012[37-155];
Korlai;paɾse;pɐɾɨˈseɾ;paɾ.se;pɐ.ɾɨ.ˈseɾ;2;3;se;seɾ;2;3;Medial;Medial;;parecer;see;Clements2012[37-156];
Korlai;simɛt;sɨˈmẽtɨ;si.mɛt;sɨ.ˈmẽ.tɨ;2;3;si;sɨ;1;1;Initial;Initial;;semente;seed;Clements2012[37-157];
Korlai;simɛt;sɨˈmẽtɨ;si.mɛt;sɨ.ˈmẽ.tɨ;2;3;-;mẽ;-;2;-;Medial;;semente;seed;Clements2012[37-158];
Korlai;simɛt;sɨˈmẽtɨ;si.mɛt;sɨ.ˈmẽ.tɨ;2;3;mɛt;tɨ;2;3;Medial;Medial;;semente;seed;Clements2012[37-159];
