Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,TargetSyllabe,PositionSource,PositionTarget,Process,TargetOrthopraphy,Translation,Reference,Notes
Sri Lanka Portuguese,luma:ɾa,CV.CV.CV,luˈaɾ,lu.ma:.ɾa,lu.ˈaɾ,ɾa,ˈaɾ,3,2,metathesis,luar,moonlight,Clements2012[37-41],
Sri Lanka Portuguese,ma:j,CVC,ˈmɐ̃j̃,ma:j,ˈmɐ̃j̃,ma:j,ˈmɐ̃j̃,1,1,,mãe,mother,Clements2012[37-41],
Sri Lanka Portuguese,monta:ɲa,CVC.CV.CV,mõˈtɐɲɐ,mon.ta:.ɲa,mõ.ˈtɐ.ɲɐ,mon,mõˈ,1,1,,montanha,mountain,Clements2012[37-41],
Sri Lanka Portuguese,monta:ɲa,CVC.CV.CV,mõˈtɐɲɐ,mon.ta:.ɲa,mõ.ˈtɐ.ɲɐ,ta:,ˈtɐ,2,2,,montanha,mountain,Clements2012[37-41],
Sri Lanka Portuguese,monta:ɲa,CVC.CV.CV,mõˈtɐɲɐ,mon.ta:.ɲa,mõ.ˈtɐ.ɲɐ,ɲa,ɲɐ,3,3,,montanha,mountain,Clements2012[37-41],
Sri Lanka Portuguese,bo:ka,CV.CV,ˈbokɐ,bo:.ka,ˈbo.kɐ,bo:,ˈbo,1,1,,boca,mouth,Clements2012[37-41],
Sri Lanka Portuguese,bo:ka,CV.CV,ˈbokɐ,bo:.ka,ˈbo.kɐ,ka,kɐ,2,2,,boca,mouth,Clements2012[37-41],
Sri Lanka Portuguese,nɔ:mi,CV.CV,ˈnomɨ,nɔ:.mi,ˈno.mɨ,nɔ:,ˈno,1,1,,nome,name,Clements2012[37-41],
Sri Lanka Portuguese,nɔ:mi,CV.CV,ˈnomɨ,nɔ:.mi,ˈno.mɨ,mi,mɨ,2,2,,nome,name,Clements2012[37-41],
Sri Lanka Portuguese,istɾe:tu,VC.CCV.CV,ʃˈtɾɐjtu,is.tɾe.:tu,ʃ.ˈtɾɐj.tu,is,ʃ,1,1,,estreito,narrow,Clements2012[37-41],
Sri Lanka Portuguese,istɾe:tu,VC.CCV.CV,ʃˈtɾɐjtu,is.tɾe.:tu,ʃ.ˈtɾɐj.tu,tɾe:,tɾɐj,2,2,,estreito,narrow,Clements2012[37-41],
Sri Lanka Portuguese,istɾe:tu,VC.CCV.CV,ʃˈtɾɐjtu,is.tɾe.:tu,ʃ.ˈtɾɐj.tu,tu,tu,3,3,,estreito,narrow,Clements2012[37-41],
Sri Lanka Portuguese,pɛ:ɾtu,CVC.CV,ˈpɛɾtu,pɛ:ɾ.tu,ˈpɛɾ.tu,pɛ:ɾ,pɛɾ,1,1,,perto,near,Clements2012[37-41],
Sri Lanka Portuguese,pɛ:ɾtu,CVC.CV,ˈpɛɾtu,pɛ:ɾ.tu,ˈpɛɾ.tu,tu,tu,2,2,,perto,near,Clements2012[37-41],
Sri Lanka Portuguese,gaɾga:ntu,CVC.CVC.CV,gɐɾˈgãtɐ,gaɾ.ga:n.tu,gɐɾ.ˈgã.tɐ,gaɾ,gɐɾ,1,1,,garganta,throat,Clements2012[37-41],
Sri Lanka Portuguese,gaɾga:ntu,CVC.CVC.CV,gɐɾˈgãtɐ,gaɾ.ga:n.tu,gɐɾ.ˈgã.tɐ,ga:n,gã,2,2,,garganta,throat,Clements2012[37-41],
Sri Lanka Portuguese,gaɾga:ntu,CVC.CVC.CV,gɐɾˈgãtɐ,gaɾ.ga:n.tu,gɐɾ.ˈgã.tɐ,tu,tɐ,3,3,,garganta,throat,Clements2012[37-41],
Sri Lanka Portuguese,gɔɾgal,CVC.CVC,gɐɾˈgalu,gɔɾ.gal,gɐɾ.ˈga.lu,gɔɾ,gɐɾ,1,1,dissimilation,gargalo,throat,Clements2012[37-41],
Sri Lanka Portuguese,gɔɾgal,CVC.CVC,gɐɾˈgalu,gɔɾ.gal,gɐɾ.ˈga.lu,-,ˈga,-,2,,gargalo,throat,Clements2012[37-41],
Sri Lanka Portuguese,gɔɾgal,CVC.CVC,gɐɾˈgalu,gɔɾ.gal,gɐɾ.ˈga.lu,gal,lu,2,3,,gargalo,throat,Clements2012[37-41],
Sri Lanka Portuguese,no:ʋ,CVC,ˈnovu,no:ʋ,ˈno.vu,no:ʋ,ˈno,1,1,,novo,new,Clements2012[37-41],
Sri Lanka Portuguese,no:ʋ,CVC,ˈnovu,no:ʋ,ˈno.vu,-,vu,-,2,,novo,new,Clements2012[37-41],
Sri Lanka Portuguese,ano:ti,V.CV.CV,ˈnojtɨ,a.no:.ti,ˈnoj.tɨ,a,ˈnoj,1,1,,noite,night,Clements2012[37-41],
Sri Lanka Portuguese,ano:ti,V.CV.CV,ˈnojtɨ,a.no:.ti,ˈnoj.tɨ,no:,-,2,-,,noite,night,Clements2012[37-41],
Sri Lanka Portuguese,ano:ti,V.CV.CV,ˈnojtɨ,a.no:.ti,ˈnoj.tɨ,ti,tɨ,3,2,,noite,night,Clements2012[37-41],
Sri Lanka Portuguese,na:ɾis,CV.CVC,nɐˈɾiʃ,na:.ɾis,nɐ.ˈɾiʃ,na:,nɐ,1,1,,nariz,nose,Clements2012[37-41],
Sri Lanka Portuguese,na:ɾis,CV.CVC,nɐˈɾiʃ,na:.ɾis,nɐ.ˈɾiʃ,ɾis,ˈɾiʃ,2,2,,nariz,nose,Clements2012[37-41],
Sri Lanka Portuguese,na:,CV,ˈnɐ̃w,na:,ˈnɐ̃w,na:,ˈnɐ̃w,1,1,,não,not,Clements2012[37-41],
Sri Lanka Portuguese,nun,CVC,ˈnɐ̃w,nun,ˈnɐ̃w,nun,ˈnɐ̃w,1,1,,não,not,Clements2012[37-41],
Sri Lanka Portuguese,ʋɛ:j,CVC,ˈveʎu,ʋɛ:j,ˈve.ʎu,ʋɛ:j,ˈve,1,1,,velho,old,Clements2012[37-41],
Sri Lanka Portuguese,ʋɛ:j,CVC,ˈveʎu,ʋɛ:j,ˈve.ʎu,-,ʎu,-,2,,velho,old,Clements2012[37-41],
Sri Lanka Portuguese,uŋa,VCV,ˈumɐ,u.ŋa,ˈu.mɐ,u,ˈu,1,1,,uma,one,Clements2012[37-41],
Sri Lanka Portuguese,uŋa,VCV,ˈumɐ,u.ŋa,ˈu.mɐ,ŋa,mɐ,2,2,,uma,one,Clements2012[37-41],
Sri Lanka Portuguese,o:tɾu,V.CCV,ˈotɾu,o:.tɾu,ˈo.tɾu,o:,ˈo,1,1,,outro,other,Clements2012[37-41],
Sri Lanka Portuguese,o:tɾu,V.CCV,ˈotɾu,o:.tɾu,ˈo.tɾu,tɾu,tɾu,2,2,,outro,other,Clements2012[37-41],
Sri Lanka Portuguese,pesa:m,CV.CVC,pɨˈsoɐ,pe.sa:m,pɨ.ˈso.ɐ,pe,pɨ,1,1,,pessoa,person,Clements2012[37-41],
Sri Lanka Portuguese,pesa:m,CV.CVC,pɨˈsoɐ,pe.sa:m,pɨ.ˈso.ɐ,-,ˈso,-,2,,pessoa,person,Clements2012[37-41],
Sri Lanka Portuguese,pesa:m,CV.CVC,pɨˈsoɐ,pe.sa:m,pɨ.ˈso.ɐ,sa:m,ɐ,2,3,,pessoa,person,Clements2012[37-41],
Sri Lanka Portuguese,bɾinka:,CCVC.CV,bɾĩˈkaɾ,bɾin.ka:,bɾĩ.ˈkaɾ,bɾin,bɾĩ,1,1,,brincar,play,Clements2012[37-41],
Sri Lanka Portuguese,bɾinka:,CCVC.CV,bɾĩˈkaɾ,bɾin.ka:,bɾĩ.ˈkaɾ,ka:,ˈkaɾ,2,2,,brincar,play,Clements2012[37-41],
Sri Lanka Portuguese,pusa:,CV.CV ,puˈʃaɾ,pu.sa:,pu.ˈʃaɾ,pu,pu,1,1,,puxar,pull,Clements2012[37-41],
Sri Lanka Portuguese,pusa:,CV.CV ,puˈʃaɾ,pu.sa:,pu.ˈʃaɾ,sa:,ˈʃaɾ,2,2,,puxar,pull,Clements2012[37-41],
Sri Lanka Portuguese,taɭɭi,,,ta.ɭɭi,,,,,,,empurrar,push,Clements2012[37-41],Not of Portuguese origin
Sri Lanka Portuguese,t̠ʃu:ʋa,CV.CV,ˈʃuvɐ,t̠ʃu:.ʋa,ˈʃu.vɐ,t̠ʃu:,ˈʃu,1,1,,chuva,rain,Clements2012[37-41],
Sri Lanka Portuguese,t̠ʃu:ʋa,CV.CV,ˈʃuvɐ,t̠ʃu:.ʋa,ˈʃu.vɐ,ʋa,vɐ,2,2,,chuva,rain,Clements2012[37-41],
Sri Lanka Portuguese,bɾuma:j,CCV.CVC,vɨɾˈmɐʎu,bɾu.ma:j,vɨɾ.ˈmɐ.ʎu,bɾu,vɨɾ,1,1,,vermelho,red,Clements2012[37-41],
Sri Lanka Portuguese,bɾuma:j,CCV.CVC,vɨɾˈmɐʎu,bɾu.ma:j,vɨɾ.ˈmɐ.ʎu,-,ˈmɐ,-,2,,vermelho,red,Clements2012[37-41],
Sri Lanka Portuguese,bɾuma:j,CCV.CVC,vɨɾˈmɐʎu,bɾu.ma:j,vɨɾ.ˈmɐ.ʎu,ma:j,ʎu,2,3,,vermelho,red,Clements2012[37-41],
Sri Lanka Portuguese,dɾe:tu,CCV.CV,diˈɾɐjtu,dɾe:.tu,di.ˈɾɐj.tu,dɾe:,di,1,1,,direito,right/correct,Clements2012[37-41],
Sri Lanka Portuguese,dɾe:tu,CCV.CV,diˈɾɐjtu,dɾe:.tu,di.ˈɾɐj.tu,-,ˈɾɐj,-,2,,direito,right/correct,Clements2012[37-41],
Sri Lanka Portuguese,dɾe:tu,CCV.CV,diˈɾɐjtu,dɾe:.tu,di.ˈɾɐj.tu,tu,tu,2,3,,direito,right/correct,Clements2012[37-41],
