Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Timor Pidgin,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,d̠ʒun,ʒũ,1,1,,juntado,together,Baxter1990[7-21],
Timor Pidgin,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,ˈta,ˈta,2,2,,juntado,together,Baxter1990[7-21],
Timor Pidgin,d̠ʒunˈtadu,ʒũˈtadu,d̠ʒun.ˈta.du,ʒũ.ˈta.du,du,du,3,3,,juntado,together,Baxter1990[7-21],
Timor Pidgin,ˈpesi,ˈpejʃɨ,ˈpe.si,ˈpej.ʃɨ,ˈpe,ˈpej,1,1,,peixe,fish,Baxter1990[7-21],
Timor Pidgin,ˈpesi,ˈpejʃɨ,ˈpe.si,ˈpej.ʃɨ,si,ʃɨ,2,2,,peixe,fish,Baxter1990[7-21],
Timor Pidgin,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,ɔ,o,1,1,,hoje,today,Baxter1990[7-21],
Timor Pidgin,ɔzi,ˈoʒɨ,ɔ.zi,ˈo.ʒɨ,zi,ʒɨ,2,2,,hoje,today,Baxter1990[7-21],
Timor Pidgin,miˈza,miˈʒaɾ,mi.ˈza,mi.ˈʒaɾ,mi,mi,1,1,,mijar,urinate,Baxter1990[7-21],
Timor Pidgin,miˈza,miˈʒaɾ,mi.ˈza,miˈ.ʒaɾ,ˈza,ˈʒaɾ,2,2,,mijar,urinate,Baxter1990[7-21],
Timor Pidgin,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,ˈke,ˈkɐj,1,1,,queijo,cheese,Baxter1990[7-21],
Timor Pidgin,ˈkezu,ˈkɐjʒu,ˈke.zu,ˈkɐj.ʒu,zu,ʒu,2,2,,queijo,cheese,Baxter1990[7-21],
Timor Pidgin,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,ˈsu,ˈsu,1,1,,sujo,dirty,Baxter1990[7-21],
Timor Pidgin,ˈsuzu,ˈsuʒu,ˈsu.zu,ˈsu.ʒu,zu,ʒu,2,2,,sujo,dirty,Baxter1990[7-21],
Timor Pidgin,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ka,kɐ,1,1,,carreta,"car, carriage",Baxter1990[7-21],
Timor Pidgin,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ˈre,ˈʀe,2,2,,carreta,"car, carriage",Baxter1990[7-21],
Timor Pidgin,kaˈreta,kɐˈʀetɐ,ka.ˈre.ta,kɐ.ˈʀe.tɐ,ta,tɐ,3,3,,carreta,"car, carriage",Baxter1990[7-21],
Timor Pidgin,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ˈfe,ˈfɛ,1,1,,ferro,iron,Baxter1990[7-21],
Timor Pidgin,ˈferu,ˈfɛʀu,ˈfe.ru,ˈfɛ.ʀu,ru,ʀu,2,2,,ferro,iron,Baxter1990[7-21],
Timor Pidgin,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ba,bɐ,1,1,,barriga,belly,Baxter1990[7-21],
Timor Pidgin,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ˈri,ˈʀi,2,2,,barriga,belly,Baxter1990[7-21],
Timor Pidgin,baˈriga,bɐˈʀigɐ,ba.ˈri.ga,bɐ.ˈʀi.gɐ,ga,gɐ,3,3,,barriga,belly,Baxter1990[7-21],
Timor Pidgin,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,ˈɔ:,ˈo,1,1,,outro,other,Baxter1990[7-21],
Timor Pidgin,ˈɔ:tu,ˈotɾu,ˈɔ:.tu,ˈo.tɾu,tu,tɾu,2,2,,outro,other,Baxter1990[7-21],
Timor Pidgin,ˈkransa,kɾiˈɐ̃sɐ,ˈkran.sa,kɾi.ˈɐ̃.sɐ,ˈkran,kɾi,1,1,,criança,child,Baxter1990[7-21],
Timor Pidgin,ˈkransa,kɾiˈɐ̃sɐ,ˈkran.sa,kɾi.ˈɐ̃.sɐ,-,ˈɐ̃,-,2,metathesis,criança,child,Baxter1990[7-21],
Timor Pidgin,ˈkransa,kɾiˈɐ̃sɐ,ˈkran.sa,kɾi.ˈɐ̃.sɐ,sa,sɐ,2,3,,criança,child,Baxter1990[7-21],
Timor Pidgin,ˈεbra,ˈεɾvɐ,ˈε.bra,ˈεɾ.vɐ,ˈε,ˈεɾ,1,1,metathesis,erva,grass,Baxter1990[7-21],
Timor Pidgin,ˈεbra,ˈεɾvɐ,ˈε.bra,ˈεɾ.vɐ,bra,vɐ,2,2,metathesis,erva,grass,Baxter1990[7-21],
Timor Pidgin,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ˈba,ˈva,1,1,,vaca,bovine,Baxter1990[7-21],
Timor Pidgin,ˈbaka,ˈvakɐ,ˈba.ka,ˈva.kɐ,ka,kɐ,2,2,,vaca,bovine,Baxter1990[7-21],
Timor Pidgin,ˈobi,oˈviɾ,ˈo.bi,o.ˈviɾ,ˈo,o,1,1,,ouvir,hear,Baxter1990[7-21],
Timor Pidgin,ˈobi,oˈviɾ,ˈo.bi,o.ˈviɾ,bi,ˈviɾ,2,2,,ouvir,hear,Baxter1990[7-21],
Timor Pidgin,ˈɔbu,ˈovu,ˈɔ.bu,ˈo.vu,ˈɔ,ˈo,1,1,,ovo,egg,Baxter1990[7-21],
