Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSyl,SourceWordLength,TargetWordLength,SourceWordSylLength,TargetWordSylLength,WordDiff,WordBigger,SyllDiff,SylNumBigger,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthography,Translation,Reference,Notes
Casamancese,piˈŋca,ẽpuˈʁaɾ,pi.ˈŋca,ẽ.pu.ˈʁaɾ,,,,,5,7,2,3,-2,Target,-1,Target,,,,Final,,empurrar,push,Biagui2012[28],Not portuguese origin
Casamancese,koˈse,kuˈzeɾ,ko.ˈse,ku.ˈzeɾ,ko,ku,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,"coser, costurar",sew,Biagui2012[193],
Casamancese,faˈla,fɐˈɫaɾ,fa.ˈla,fɐ.ˈɫaɾ,fa,fɐ,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,"falar, dizer",say,Biagui2012[23],
Casamancese,kaˈnta,kɐ̃ˈtaɾ,ka.ˈnta,kɐ̃.ˈtaɾ,ka,kɐ̃,2,2,5,6,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,cantar,sing,Biagui2012[100],
Casamancese,ɟuˈga,ʒuˈgaɾ,ɟu.ˈga,ʒu.ˈgaɾ,ɟu,ʒu,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,"jogar, brincar, tocar",play,Biagui2012[111],
Casamancese,boˈja,bojˈaɾ,bo.ˈja,boj.ˈaɾ,bo,boj,2,2,4,5,2,2,-1,Target,0,Equal,1,1,Medial,Medial,,"boiar, flutuar",float,Biagui2012[75],
Casamancese,ˈluŋa,ˈɫuɐ,ˈlu.ŋa,ˈɫu.ɐ,ˈlu,ˈɫu,2,2,4,3,2,2,1,Source,0,Equal,1,1,Medial,Medial,,lua,moon,Biagui2012[34],
Casamancese,jagu,ˈagwɐ,ja.gu,ˈa.gwɐ,ja,ˈa,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,água,water,Biagui2012[24],
Casamancese,laˈguwa,ɫɐˈgoɐ,la.ˈgu.wa,ɫɐ.ˈgo.ɐ,la,ɫɐ,3,3,6,5,3,3,1,Source,0,Equal,1,1,Medial,Medial,,lagoa,lagoon,Biagui2012[30],
Casamancese,ˈnubis,ˈnuvɐ̃jʃ,ˈnu.bis,ˈnu.vɐ̃jʃ,ˈnu,ˈnu,2,2,5,7,2,2,-2,Target,0,Equal,1,1,Medial,Medial,,nuvens,clouds,Biagui2012[38],
Casamancese,ˈfugu,ˈfogu,ˈfu.gu,ˈfo.gu,ˈfu,ˈfo,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,fogo,fire,Biagui2012[106],
Casamancese,ˈsĩsa,ˈsĩzɐʃ,ˈsĩ.sa,ˈsĩ.zɐʃ,ˈsĩ,ˈsĩ,2,2,4,6,2,2,-2,Target,0,Equal,1,1,Medial,Medial,,cinzas,ashes,Biagui2012[22],
Casamancese,ˈstrada,ʃˈtɾadɐ,ˈs.tra.da,ʃ.ˈtɾa.dɐ,ˈs,ʃ,3,3,6,6,3,3,0,Equal,0,Equal,1,1,Medial,Medial,,"estrada, rua",street,Biagui2012[45],
Casamancese,burˈmeɟu,vɨɾˈmɐʎu,bur.ˈme.ɟu,vɨɾ.ˈmɐ.ʎu,bur,vɨɾ,3,3,7,7,3,3,0,Equal,0,Equal,1,1,Medial,Medial,,vermelho,red,Biagui2012[103],
Casamancese,ˈberdu,ˈveɾdɨ,ˈber.du,ˈveɾ.dɨ,ˈber,ˈveɾ,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,verde,green,Biagui2012[335],
Casamancese,ˈbraŋku,ˈbɾɐ̃ku,ˈbra.ŋku,ˈbɾɐ̃.ku,ˈbra,ˈbɾɐ̃,2,2,6,6,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,branco,white,Biagui2012[103],
Casamancese,ˈpretu,ˈpɾetu,ˈpre.tu,ˈpɾe.tu,ˈpre,ˈpre,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,preto,black,Biagui2012[39],
Casamancese,ˈcinti,ˈmoɾnu,ˈci.nti,ˈmoɾ.nu,,,,,5,5,2,2,0,Equal,0,Equal,,,,Final,,morno,warm,Biagui2012[54],Not portuguese origin
Casamancese,jiˈŋci,ẽˈʃidu,ji.ˈŋci,ẽ.ˈʃi.du,ji,ẽ,2,3,5,6,2,3,-1,Target,-1,Target,1,1,Medial,Medial,,enchido,"full, filled",Biagui2012[29],
Casamancese,ˈnobu,ˈnovu,ˈno.bu,ˈno.vu,ˈno,ˈno,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,novo,new,Biagui2012[104],
Casamancese,ˈbeɟu,ˈvɐʎu,ˈbe.ɟu,ˈvɐ.ʎu,ˈbe,ˈvɐ,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,velho,old,Biagui2012[124],
Casamancese,ˈbõ,bõ,ˈbõ,bõ,ˈbõ,bõ,1,1,2,3,1,1,-1,Target,0,Equal,1,1,Medial,Medial,,bom,good,Biagui2012[77],
Casamancese,ˈlisu,ˈɫizu,ˈli.su,ˈɫi.zu,ˈli,ˈɫi,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,"liso, suave",smooth,Biagui2012[338],
Casamancese,mo'ɟa,muˈʎaɾ,mo.'ɟa,mu.ˈʎaɾ,mo,mu,2,2,5,5,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,molhar,wet,Biagui2012[261],
Casamancese,seku,ˈseku,ˈse.ku,ˈse.ku,ˈse,ˈse,2,2,4,4,3,2,0,Equal,1,Source,1,2,Medial,Medial,,seco,dry,Biagui2012[261],
Casamancese,ˈpertu,ˈpeɾtu,ˈper.tu,ˈpeɾ.tu,ˈper,ˈper,2,2,5,5,2,2,0,Equal,0,Equal,1,2,Medial,Medial,,perto,near,Biagui2012[339],
Casamancese,ˈloŋɟi,ˈɫõʒɨ,ˈlo.ŋɟi,ˈɫõ.ʒɨ,ˈlo,ˈɫõ,2,2,5,5,2,2,0,Equal,0,Equal,1,2,Medial,Medial,,longe,far,Biagui2012[338],
Casamancese,siˈkerdu,ʃˈkeɾdɐ,si.ˈker.du,ʃ.ˈkeɾ.dɐ,si,ʃ,3,3,7,6,3,3,1,Source,0,Equal,1,1,Medial,Medial,,esquerda,left,Biagui2012[236],
Casamancese,i,i,i,i,i,i,1,1,1,1,1,1,0,Equal,0,Equal,1,1,Medial,Medial,,e,and,Biagui2012[272],
Casamancese,si,sɨ,si,sɨ,si,sɨ,1,1,2,2,1,1,0,Equal,0,Equal,1,1,Medial,Medial,,se,if,Biagui2012[276],
Casamancese,paˈbija,puɾkɨ,pa.ˈbi.ja,puɾ.kɨ,,,,,6,5,3,2,1,Source,1,Source,,,,Final,,porque,because,Biagui2012[272],Not portuguese origin
Casamancese,wo'ɟa,oˈʎaɾ,wo.'ɟa,o.ˈʎaɾ,o,wo,2,2,5,4,2,2,1,Source,0,Equal,1,1,Medial,Medial,,ver,look,Biagui2012[24],
Casamancese,ˈnomi,ˈnomɨ,ˈno.mi,ˈno.mɨ,ˈno,ˈno,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,nome,name,Biagui2012[20],
Casamancese,ˈpaɟa,ˈpaʎɐ,ˈpa.ɟa,ˈpa.ʎɐ,ˈpa,ˈpa,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,palha,straw,Biagui2012[31],"Basic, but not Swadesh items"
Casamancese,ˈaɲɟu,ˈɐ̃ʒu,ˈa.ɲɟu,ˈɐ̃.ʒu,ˈa,ˈɐ̃,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,anjo,angel,Biagui2012[12],"Basic, but not Swadesh items"
Casamancese,po,ˈpaw,po,ˈpaw,po,ˈpaw,1,1,2,3,1,1,-1,Target,0,Equal,1,1,Medial,Medial,,pau,stick,Biagui2012[317],"Basic, but not Swadesh items"
Casamancese,ˈaɲɟu,ˈɐ̃ʒu,ˈa.ɲɟu,ˈɐ̃.ʒu,ɲɟu,ʒu,2,2,4,4,2,2,0,Equal,0,Equal,2,2,Medial,Medial,,anjo,angel,Biagui2012[12],"Basic, but not Swadesh items"
Casamancese,ˈɫaɾgumɐ,ˈɫagɾimɐ,ˈɫaɾ.gu.mɐ,ˈɫa.gɾi.mɐ,ˈɫaɾ,ˈɫa,3,3,7,7,3,3,0,Equal,0,Equal,1,1,Medial,Medial,methatesis,lágrima,teardrop,Biagui2012[12],"Basic, but not Swadesh items"
Casamancese,ˈmakina,ˈmakinɐ,ˈma.ki.na,ˈma.ki.nɐ,ˈma,ˈma,3,3,6,6,3,3,0,Equal,0,Equal,1,1,Medial,Medial,,máquina,machine,Biagui2012[12],"Basic, but not Swadesh items"
Casamancese,ˈlama,ˈɫɐmɐ,ˈla.ma,ˈɫɐ.mɐ,ˈla,ˈɫɐ,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,lama,mud,Biagui2012[13],"Basic, but not Swadesh items"
Casamancese,ˈfɛru,ˈfeʁu,ˈfɛ.ru,ˈfe.ʁu,ˈfɛ,ˈfe,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,ferro,iron,Biagui2012[21],"Basic, but not Swadesh items"
Casamancese,ˈmala,ˈmaɫɐ,ˈma.la,ˈma.ɫɐ,ˈma,ˈma,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,mala,suitcase,Biagui2012[19],"Basic, but not Swadesh items"
Casamancese,ˈsuɲu,ˈsoɲu,ˈsu.ɲu,ˈso.ɲu,ˈsu,ˈso,2,2,4,4,2,2,0,Equal,0,Equal,1,1,Medial,Medial,,sonho,dream,Biagui2012[19],"Basic, but not Swadesh items"
