SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,TargetOrthopraphy,Translation,Reference,Notes,NumberSylSource,NumberSylTarget,TemplateSylSource,TemplateSylTarget,SourceWordLength,TargetWordLength,WordDiff,WordBigger,SourceWordSyl,TargetWordSyl,SylDiff,SylBigger
istɾe:tu,ʃˈtɾɐjtu,is.tɾe.:tu,ʃ.ˈtɾɐj.tu,estreito,narrow,Clements2012[37-41],,,,,,8,7,1,Source,3,3,0,Equal
pɛ:ɾtu,ˈpɛɾtu,pɛ:ɾ.tu,ˈpɛɾ.tu,perto,near,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
gaɾga:ntu,gɐɾˈgãtɐ,gaɾ.ga:n.tu,gɐɾ.ˈgã.tɐ,garganta,throat,Clements2012[37-41],,,,,,9,7,2,Source,3,3,0,Equal
gɔɾgal,gɐɾˈgalu,gɔɾ.gal,gɐɾ.ˈga.lu,gargalo,throat,Clements2012[37-41],,,,,,6,7,-1,Target,2,3,-1,Target
no:ʋ,ˈnovu,no:ʋ,ˈno.vu,novo,new,Clements2012[37-41],,,,,,4,4,0,Equal,1,2,-1,Target
ano:ti,ˈnojtɨ,a.no:.ti,ˈnoj.tɨ,noite,night,Clements2012[37-41],,,,,,6,5,1,Source,3,2,1,Source
na:ɾis,nɐˈɾiʃ,na:.ɾis,nɐ.ˈɾiʃ,nariz,nose,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
na:,ˈnɐ̃w,na:,ˈnɐ̃w,não,not,Clements2012[37-41],,,,,,3,4,-1,Target,1,1,0,Equal
nun,ˈnɐ̃w,nun,ˈnɐ̃w,não,not,Clements2012[37-41],,,,,,3,4,-1,Target,1,1,0,Equal
ʋɛ:j,ˈveʎu,ʋɛ:j,ˈve.ʎu,velho,old,Clements2012[37-41],,,,,,4,4,0,Equal,1,2,-1,Target
uŋa,ˈumɐ,u.ŋa,ˈu.mɐ,um,one,Clements2012[37-41],,,,,,3,3,0,Equal,2,2,0,Equal
o:tɾu,ˈotɾu,o:.tɾu,ˈo.tɾu,outro,other,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
pesa:m,pɨˈsoɐ,pe.sa:m,pɨ.ˈso.ɐ,pessoa,person,Clements2012[37-41],,,,,,6,5,1,Source,2,3,-1,Target
bɾinka:,bɾĩˈkaɾ,bɾin.ka:,bɾĩ.ˈkaɾ,brincar,play,Clements2012[37-41],,,,,,7,7,0,Equal,2,2,0,Equal
pusa:,puˈʃaɾ,pu.sa:,pu.ˈʃaɾ,puxar,pull,Clements2012[37-41],,,,,,5,5,0,Equal,2,2,0,Equal
taɭɭi,,ta.ɭɭi,,empurrar,push,Clements2012[37-41],,,,,,5,0,,,2,,,
t̠ʃu:ʋa,ˈʃuvɐ,t̠ʃu:.ʋa,ˈʃu.vɐ,chuva,rain,Clements2012[37-41],,,,,,5,4,1,Source,2,2,0,Equal
bɾuma:j,vɨɾˈmɐʎu,bɾu.ma:j,vɨɾ.ˈmɐ.ʎu,vermelho,red,Clements2012[37-41],,,,,,7,7,0,Equal,2,3,-1,Target
dɾe:tu,diˈɾɐjtu,dɾe:.tu,di.ˈɾɐj.tu,direito,right/correct,Clements2012[37-41],,,,,,6,7,-1,Target,2,3,-1,Target
d̠ʒu:stu,ˈʒuʃtu,d̠ʒu.:stu,ˈʒuʃ.tu,justo,correct,Clements2012[37-41],,,,,,6,5,1,Source,2,2,0,Equal
mandɾe:tu,ˈmɐ̃w diˈɾɐjtɐ,man.dɾe:.tu,ˈmɐ̃w.di.ˈɾɐj.tɐ,à direita,rightside,Clements2012[37-41],,,,,,9,12,-3,Target,3,4,-1,Target
ɾi:ʋ,ˈʀiu,ɾi.:ʋ,ˈʀi.u,rio,river,Clements2012[37-41],,,,,,4,3,1,Source,2,2,0,Equal
