Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl,TargetWordSylLength,PositionSource,Position Target,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference,Notes
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,-,ˈka,2,3,-,2,-,Medial,ma:,ˈku,mɐ,ku,,macaco,monkey,Bandeira2017[366-412],
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,ˈku,ku,2,3,2,3,Final,Final,-,2,ˈka,3,,macaco,monkey,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,ŋ,gɐ,3,3,1,-,Initial,-,0,gɐ̃,0,gɐ,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,gɐ̃,gɐ,3,3,2,1,Medial,Initial,ŋ,-,gɐ,ˈli,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,-,ˈli,3,3,-,2,-,Medial,gɐ̃,ˈɲa,gɐ,ɲɐ,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,ˈɲa,ɲɐ,3,3,3,3,Final,Final,-,3,ˈli,3,,galinha,chicken,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,ŋ,ˈgaɾ,3,2,1,1,Initial,Initial,0,ˈga,0,sɐ,,garça,heron,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,ˈga,sɐ,3,2,2,2,Medial,Final,ŋ,θɐ,ˈgaɾ,-,,garça,heron,Bandeira2017[366-412],
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,θɐ,-,3,2,3,-,Final,-,ˈga,3,sɐ,-,,garça,heron,Bandeira2017[366-412],
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,ˈgɛ,ˈgɛ,2,2,1,1,Initial,Initial,0,lɐ,0,ʀɐ,,guerra,war,Bandeira2017[366-412],
Angolar,ˈgɛlɐ,ˈgɛʀɐ,ˈgɛ.lɐ,ˈgɛ.ʀɐ,lɐ,ʀɐ,2,2,2,2,Final,Final,ˈgɛ,2,ˈgɛ,2,,guerra,war,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,ma,mal,3,3,1,1,Initial,Initial,0,ˈda,0,ˈda,,maldade,evil,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,ˈda,ˈda,3,3,2,2,Medial,Medial,ma,di,mal,dɨ,,maldade,evil,Bandeira2017[366-412],
Angolar,maˈdadi,malˈdadɨ,ma.ˈda.di,mal.ˈda.dɨ,di,dɨ,3,3,3,3,Final,Final,ˈda,3,ˈda,3,,maldade,evil,Bandeira2017[366-412],
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,ˈθe,ˈse,2,2,1,1,Initial,Initial,0,di,0,dɨ,,sede,thirst,Bandeira2017[366-412],
Angolar,ˈθedi,ˈsedɨ,ˈθe.di,ˈse.dɨ,di,dɨ,2,2,2,2,Final,Final,ˈθe,2,ˈse,2,,sede,thirst,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,ˈsi,siˈ,2,3,1,1,Initial,Initial,0,-,0,ˈu,,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,-,ˈu,2,3,-,2,-,Medial,ˈsi,mi,siˈ,mɨ,,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,ˈsimi,siˈumɨ,ˈsi.mi,si.ˈu.mɨ,mi,mɨ,2,3,2,3,Final,Final,-,2,ˈu,3,,ciúmes,jealousy,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,vɛ,vɨɾ,3,3,1,1,Initial,Initial,0,ˈgɔ,0,ˈgo,,vergonha,shame,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,ˈgɔ,ˈgo,3,3,2,2,Medial,Medial,vɛ,ɲɐ,vɨɾ,ɲɐ,,vergonha,shame,Bandeira2017[366-412],
Angolar,vɛˈgɔɲɐ,vɨɾˈgoɲɐ,vɛ.ˈgɔ.ɲɐ,vɨɾ.ˈgo.ɲɐ,ɲɐ,ɲɐ,3,3,3,3,Final,Final,ˈgɔ,3,ˈgo,3,,vergonha,shame,Bandeira2017[366-412],
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,ˈko,ˈkoɾ,2,1,1,1,Initial,Final,0,lo,0,-,,cor,color,Bandeira2017[366-412],
Angolar,ˈkolo,ˈkoɾ,ˈko.lo,ˈkoɾ,lo,-,2,1,2,-,Final,-,ˈko,2,ˈkoɾ,-,,cor,color,Bandeira2017[366-412],
Angolar,ˈvedi,ˈveɾdɨ,ˈve.di,ˈveɾ.dɨ,ˈve,ˈveɾ,2,2,1,1,Initial,Initial,0,di,0,dɨ,,verde,green,Bandeira2017[366-412],
