Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,SourceWord Length,TargetWord Length,SourceWordSyl Length,TargetWordSyl Length,Word diff,Word bigger,Syll diff,SylNum bigger
Principense,nĩˈŋge,alˈgɐ̃j̃,nĩ.ˈŋge,al.ˈgɐ̃j̃,ˈŋge,gɐ̃j̃,2,2,6,7,2,2,-1,Target,0,Equal
Principense,ɔˈmi,ˈomɐ̃j̃,ɔ.ˈmi,ˈo.mɐ̃j̃,ˈmi,mɐ̃j̃,2,2,3,6,2,2,-3,Target,0,Equal
Principense,viˈd̠ʒĩ,viˈziɲu,vi.ˈd̠ʒĩ,vi.ˈzi.ɲu,ˈd̠ʒĩ,ɲu,2,3,5,6,2,3,-1,Target,-1,Target
Principense,aʀimɐ̃ˈzɛ̃,aɾmɐˈzɐ̃j̃,a.ʀi.mɐ̃.ˈzɛ̃,aɾ.mɐ.ˈzɐ̃j̃,a,aɾ,1,1,9,9,4,3,0,Equal,1,Source
Principense,ˈpɔ̃t̠ʃivaˈpo,ˈkajʃ,ˈpɔ̃.t̠ʃi.va ˈpo,ˈkajʃ,ˈpo,-,4,-,9,4,4,1,5,Source,3,Source
Principense,ˈfja,ˈfejɾɐ,ˈfja,ˈfej.ɾɐ,ˈfja,ˈfej,1,1,3,5,1,2,-2,Target,-1,Target
Principense,ˈge:zɐ,iˈgɾɐjʒɐ,ˈge:.zɐ,i.ˈgɾɐj.ʒɐ,zɐ,ʒɐ,2,3,5,7,2,3,-2,Target,-1,Target
Principense,kaˈd̠ʒja,kɐˈdejɐ,ka.ˈd̠ʒja,kɐ.ˈdej.ɐ,ka,kɐ,1,1,5,6,2,3,-1,Target,-1,Target
Principense,ˈkaʃi,ˈkazɐ,ˈka.ʃi,ˈka.zɐ,ˈka,ˈka,1,1,4,4,2,2,0,Equal,0,Equal
Principense,oˈvjo,fluˈɾeʃtɐ,o.ˈvjo,flu.ˈɾeʃ.tɐ,o,flu,1,1,4,8,2,3,-4,Target,-1,Target
Principense,kuˈʃɐ̃,kuˈziɲɐ,ku.ˈʃɐ̃,ku.ˈzi.ɲɐ,ˈʃɐ̃,ɲɐ,2,3,5,6,2,3,-1,Target,-1,Target
Principense,uˈkwatu,ˈkwaɾtu,u.ˈkwa.tu,ˈkwaɾ.tu,u,ˈkwaɾ,1,1,6,6,3,2,0,Equal,1,Source
Principense,ˈugɐ,ˈʀuɐ,ˈugɐ,ˈʀu.ɐ,-,ɐ,-,2,3,3,1,2,0,Equal,-1,Target
