Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,TargetOrthography,Translation,SourceWword Length,TargetWord Length,SourceWordSyl Length, TargetWordSyl Length,Word difference,word bigger,Syl difference ,Syl bigger
Fa d’Ambo,ˈpalma,ˈpaɫmɐ,ˈpal.ma,ˈpaɫ.mɐ,palma,palm,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,pa:ˈmitu,paɫˈmitu,pa:.ˈmi.tu,paɫ.ˈmi.tu,palmito,palm heart,7,7,3,3,0,Equal,0,Equal
Fa d’Ambo,ʃiˈmɛnt̠ʃi,sɨˈmẽtɨ,ʃi.ˈmɛn.t̠ʃi,sɨ.ˈmẽ.tɨ,semente,seed,7,6,3,3,1,Source,0,Equal
Fa d’Ambo,ˈspiga,ɨʃˈpigɐ,ˈspi.ga,ɨʃ.ˈpi.gɐ,espiga,cob,5,6,2,3,-1,Target,-1,Target
Fa d’Ambo,ˈbasu,ɐ̃j̃ˈbajʃu,ˈba.su,ɐ̃j̃.ˈbaj.ʃu,embaixo,under,4,8,2,3,-4,Target,-1,Target
Fa d’Ambo,ˈdẽtulu,ˈdẽtɾu,ˈdẽ.tu.lu,ˈdẽ.tɾu,dentro,in,7,6,3,2,1,Source,1,Source
Fa d’Ambo,ˈfɔla,ˈfɔɾɐ,ˈfɔ.la,ˈfɔ.ɾɐ,fora,outside,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈskɛd̠ʒi,ɨʃˈkeɾdu,ˈskɛ.d̠ʒi,ɨʃ.ˈkeɾ.du,esquerdo,left,5,7,2,3,-2,Target,-1,Target
Fa d’Ambo,baˈli,bɐˈʀiɫ,ba.ˈli,bɐ.ˈʀiɫ,barril,barrel,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,banˈdɛla,bɐ̃ˈdɐjɾɐ,ban.ˈdɛ.la,bɐ̃.ˈdɐj.ɾɐ,bandeira,flag,7,8,3,3,-1,Target,0,Equal
Fa d’Ambo,ˈbɐ̃ŋku,ˈbɾɐ̃ku,ˈbɐ̃ŋ.ku,ˈbɐ̃.ku,banco,bench,6,6,2,2,0,Equal,0,Equal
Fa d’Ambo,bɔˈsɔl,vɐˈsoɾɐ,bɔ.ˈsɔl,vɐ.ˈso.ɾɐ,vassoura,broom,5,6,2,3,-1,Target,-1,Target
Fa d’Ambo,bɔnˈtɐ̃,buˈtɐ̃w̃,bɔn.ˈtɐ̃,bu.ˈtɐ̃w̃,botão,button,6,6,2,2,0,Equal,0,Equal
Fa d’Ambo,ˈfaxa,ˈfakɐ,ˈfa.xa,ˈfa.kɐ,faca,knife,4,4,2,2,0,Equal,0,Equal
Fa d’Ambo,fiˈnẽt̠ʃi,aɫfiˈnetɨ,fi.ˈnẽ.t̠ʃi,aɫ.fi.ˈne.tɨ,alfinete,pin,7,8,3,4,-1,Target,-1,Target
Fa d’Ambo,gaˈlafa,gɐˈʀafɐ,ga.ˈla.fa,gɐ.ˈʀa.fɐ,garrafa,bottle,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈgɛfa,ˈgaɾfu,ˈgɛ.fa,ˈgaɾ.fu,garfo,fork,4,5,2,2,-1,Target,0,Equal
Fa d’Ambo,ˈxɔ:dɔ,ˈkɔɾdɐ,ˈxɔ:.dɔ,ˈkɔɾ.dɐ,corda,rope,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,xoaˈdol,kuɐˈdoɾ,xo.a.ˈdol,ku.ɐ.ˈdoɾ,coador,strainer,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈlɐ̃sa,ˈlɐ̃sɐ,ˈlɐ̃.sa,ˈlɐ̃.sɐ,lança,lance,5,5,2,2,0,Equal,0,Equal
Fa d’Ambo,ma:ˈtɛlu,mɐɾˈtɛlu,ma:.ˈtɛ.lu,mɐɾ.ˈtɛ.lu,martelo,hammer,7,7,3,3,0,Equal,0,Equal
Fa d’Ambo,maˈʃadu,mɐˈʃadu,ma.ˈʃa.du,mɐ.ˈʃa.du,machado,ax,6,6,3,3,0,Equal,0,Equal
Fa d’Ambo,ˈpɛ̃int̠ʃi,ˈpẽtɨ,ˈpɛ̃.in.t̠ʃi,ˈpẽ.tɨ,pente,comb,7,4,3,2,3,Source,1,Source
Fa d’Ambo,utaˈdol,ũtɐˈdoɾ,u.ta.ˈdol,ũ.tɐ.ˈdoɾ,untador,sieve,6,7,3,3,-1,Target,0,Equal
Fa d’Ambo,ˈpa:tu,ˈpɾatu,ˈpa:.tu,ˈpɾa.tu,prato,plate,5,5,2,2,0,Equal,0,Equal
