Language,SourceWord,TargetWord,SourceWordSyllable,TargetWordSyylable,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,PositionSource Simple,PositionTarget Simple,Previous SourceSyllable,Next SourceSyllable,Previous TargetSyllable,Next TargetSyllable,Process,TargetOrthography,Translation,References,Notes
Fa d’Ambo,ˈbɛga,bɐˈʀigɐ,ˈbɛ.ga,bɐ.ˈʀi.gɐ,ˈʀi,-,2,3,-,2,-,Medial,ˈbɛ,ga,bɐ,gɐ,,barriga,belly,Bandeira2017[366-412],
Fa d’Ambo,ˈbɛga,bɐˈʀigɐ,ˈbɛ.ga,bɐ.ˈʀi.gɐ,gɐ,ga,2,3,2,3,Final,Final,-,2,ˈʀi,3,,barriga,belly,Bandeira2017[366-412],
Fa d’Ambo,biˈgɔd̠ʒi,biˈgɔdi,biˈ.gɔ.d̠ʒi,bi.ˈgɔ.di,bi,bi,3,3,1,1,Initial,Initial,0,ˈgɔ,0,ˈgɔ,,bigode,mustache,Bandeira2017[366-412],
Fa d’Ambo,biˈgɔd̠ʒi,biˈgɔdi,biˈ.gɔ.d̠ʒi,bi.ˈgɔ.di,ˈgɔ,ˈgɔ,3,3,2,2,Medial,Medial,bi,d̠ʒi,bi,di,,bigode,mustache,Bandeira2017[366-412],
Fa d’Ambo,biˈgɔd̠ʒi,biˈgɔdi,biˈ.gɔ.d̠ʒi,bi.ˈgɔ.di,di,d̠ʒi,3,3,3,3,Final,Final,ˈgɔ,3,ˈgɔ,3,,bigode,mustache,Bandeira2017[366-412],
Fa d’Ambo,ˈba:su,ˈbɾasu,ˈba:.su,ˈbɾa.su,ˈbɾa,ˈba:,2,2,1,1,Initial,Initial,0,su,0,su,,braço,arm,Bandeira2017[366-412],
Fa d’Ambo,ˈba:su,ˈbɾasu,ˈba:.su,ˈbɾa.su,su,su,2,2,2,2,Final,Final,ˈba:,2,ˈbɾa,2,,braço,arm,Bandeira2017[366-412],
Fa d’Ambo,ˈboxa,ˈbokɐ,ˈbo.xa,ˈbo.kɐ,ˈbo,ˈbo,2,2,1,1,Initial,Initial,0,xa,0,kɐ,,boca,mouth,Bandeira2017[366-412],
Fa d’Ambo,ˈboxa,ˈbokɐ,ˈbo.xa,ˈbo.kɐ,kɐ,xa,2,2,2,2,Final,Final,ˈbo,2,ˈbo,2,,boca,mouth,Bandeira2017[366-412],
Fa d’Ambo,ˈdẽnt̠ʃi,ˈdẽtɨ,ˈdẽn.t̠ʃi,ˈdẽ.tɨ,ˈdẽ,ˈdẽn,2,2,1,1,Initial,Initial,0,t̠ʃi,0,tɨ,,dente,tooth,Bandeira2017[366-412],
Fa d’Ambo,ˈdẽnt̠ʃi,ˈdẽtɨ,ˈdẽn.t̠ʃi,ˈdẽ.tɨ,tɨ,t̠ʃi,2,2,2,2,Final,Final,ˈdẽn,2,ˈdẽ,2,,dente,tooth,Bandeira2017[366-412],
Fa d’Ambo,ˈfugudu,ˈfiɡɐdu,ˈfu.gu.du,ˈfi.ɡɐ.du,ˈfi.,ˈfu,3,3,1,1,Initial,Initial,0,gu,0,ɡɐ,,fígado,liver,Bandeira2017[366-412],
Fa d’Ambo,ˈfugudu,ˈfiɡɐdu,ˈfu.gu.du,ˈfi.ɡɐ.du,ɡɐ,gu,3,3,2,2,Medial,Medial,ˈfu,du,ˈfi.,du,,fígado,liver,Bandeira2017[366-412],
Fa d’Ambo,ˈfugudu,ˈfiɡɐdu,ˈfu.gu.du,ˈfi.ɡɐ.du,du,du,3,3,3,3,Final,Final,gu,3,ɡɐ,3,,fígado,liver,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛlu,kɐˈbelu,xa.ˈbɛ.lu,kɐ.ˈbe.lu,kɐ,xa,3,3,1,1,Initial,Initial,0,ˈbɛ,0,ˈbe,,cabelo,hair,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛlu,kɐˈbelu,xa.ˈbɛ.lu,kɐ.ˈbe.lu,ˈbe,ˈbɛ,3,3,2,2,Medial,Medial,xa,lu,kɐ,lu,,cabelo,hair,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛlu,kɐˈbelu,xa.ˈbɛ.lu,kɐ.ˈbe.lu,lu,lu,3,3,3,3,Final,Final,ˈbɛ,3,ˈbe,3,,cabelo,hair,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛsa,kɐˈbesɐ,xa.ˈbɛ.sa,kɐ.ˈbe.sɐ,kɐ,xa,3,3,1,1,Initial,Initial,0,ˈbɛ,0,ˈbe,,cabeça,head,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛsa,kɐˈbesɐ,xa.ˈbɛ.sa,kɐ.ˈbe.sɐ,ˈbe,ˈbɛ,3,3,2,2,Medial,Medial,xa,sa,kɐ,sɐ,,cabeça,head,Bandeira2017[366-412],
Fa d’Ambo,xaˈbɛsa,kɐˈbesɐ,xa.ˈbɛ.sa,kɐ.ˈbe.sɐ,sɐ,sa,3,3,3,3,Final,Final,ˈbɛ,3,ˈbe,3,,cabeça,head,Bandeira2017[366-412],
Fa d’Ambo,xo:ˈxoso,pɨʃˈkosu,xo:.ˈxo.so,pɨʃ.ˈko.su,pɨʃ,xo:,3,3,1,1,Initial,Initial,0,ˈxo,0,ˈko,,pescoço,neck,Bandeira2017[366-412],
Fa d’Ambo,xo:ˈxoso,pɨʃˈkosu,xo:.ˈxo.so,pɨʃ.ˈko.su,ˈko,ˈxo,3,3,2,2,Medial,Medial,xo:,so,pɨʃ,su,,pescoço,neck,Bandeira2017[366-412],
Fa d’Ambo,xo:ˈxoso,pɨʃˈkosu,xo:.ˈxo.so,pɨʃ.ˈko.su,su,so,3,3,3,3,Final,Final,ˈxo,3,ˈko,3,,pescoço,neck,Bandeira2017[366-412],
Fa d’Ambo,ku:ˈsɐ̃,kuɾɐˈsɐ̃w̃,ku:.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,ku,ku:,2,3,1,1,Initial,Initial,0,-,0,ɾɐ,,coração,heart,Bandeira2017[366-412],
Fa d’Ambo,ku:ˈsɐ̃,kuɾɐˈsɐ̃w̃,ku:.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,ɾɐ,-,2,3,-,2,-,Medial,ku:,ˈsɐ̃,ku,ˈsɐ̃w̃,,coração,heart,Bandeira2017[366-412],
Fa d’Ambo,ku:ˈsɐ̃,kuɾɐˈsɐ̃w̃,ku:.ˈsɐ̃,ku.ɾɐ.ˈsɐ̃w̃,ˈsɐ̃w̃,ˈsɐ̃,2,3,2,3,Final,Final,-,2,ɾɐ,3,,coração,heart,Bandeira2017[366-412],
Fa d’Ambo,ˈlũŋga,ˈlĩɡuɐ,ˈlũŋ.ga,ˈlĩ.ɡwɐ,ˈlĩ,ˈlũŋ,2,2,1,1,Initial,Initial,0,ga,0,ɡwɐ,,língua,tongue,Bandeira2017[366-412],
Fa d’Ambo,ˈlũŋga,ˈlĩɡuɐ,ˈlũŋ.ga,ˈlĩ.ɡwɐ,ɡwɐ,ga,2,2,2,2,Final,Final,ˈlũŋ,2,ˈlĩ,2,,língua,tongue,Bandeira2017[366-412],
Fa d’Ambo,ˈmama,ˈmɐmɐ,ˈma.ma,ˈmɐ.mɐ,ˈmɐ,ˈma,2,2,1,1,Initial,Initial,0,ma,0,mɐ,,mama,bosom,Bandeira2017[366-412],
