Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceWordSyllabe,TargetWordSyllabe,PositionSource,PositionTarget,Process,TargetOrthography,Translation,References,Notes
Principense,ˈkĩtɐˈfja,CVCV'CGV,ˈkĩtɐ ˈfɐjɾɐ,ˈkĩ.tɐ.ˈfja,ˈkĩ.tɐ ˈfɐj.ɾɐ,ˈfja,ɾɐ,3,4,,quinta-feira,thursday,Bandeira2017[366-412],
Principense,ˈkwatɐˈfja,CCVCV'CGV,ˈkwaɾtɐ ˈfɐjɾɐ,ˈkwa.tɐ ˈfja,ˈkwaɾ.tɐ ˈfɐj.ɾɐ,ˈkwa,ˈkwaɾ,1,1,metathesis,quarta-feira,wednesday,Bandeira2017[366-412],
Principense,ˈkwatɐˈfja,CCVCV'CGV,ˈkwaɾtɐ ˈfɐjɾɐ,ˈkwa.tɐ ˈfja,ˈkwaɾ.tɐ ˈfɐj.ɾɐ,tɐ,tɐ,2,2,,quarta-feira,wednesday,Bandeira2017[366-412],
Principense,ˈkwatɐˈfja,CCVCV'CGV,ˈkwaɾtɐ ˈfɐjɾɐ,ˈkwa.tɐ ˈfja,ˈkwaɾ.tɐ ˈfɐj.ɾɐ,-,ˈfɐj,-,3,,quarta-feira,wednesday,Bandeira2017[366-412],
Principense,ˈkwatɐˈfja,CCVCV'CGV,ˈkwaɾtɐ ˈfɐjɾɐ,ˈkwa.tɐ ˈfja,ˈkwaɾ.tɐ ˈfɐj.ɾɐ,ˈfja,ɾɐ,3,4,,quarta-feira,wednesday,Bandeira2017[366-412],
Principense,ˈkuru,CVCV,ʃˈkuɾu,ˈku.ru,ʃ.ˈku.ɾu,-,ʃ,-,1,metathesis,escuro,dawn,Bandeira2017[366-412],
Principense,ˈkuru,CVCV,ʃˈkuɾu,ˈku.ru,ʃ.ˈku.ɾu,ˈku,ˈku,1,2,,escuro,dawn,Bandeira2017[366-412],
Principense,ˈkuru,CVCV,ʃˈkuɾu,ˈku.ru,ʃ.ˈku.ɾu,ru,ɾu,2,3,,escuro,dawn,Bandeira2017[366-412],
Principense,uˈmaju,V'CVGV,ˈmaju,u.ˈma.ju,ˈmaj.u,u,-,1,-,,maio,May,Bandeira2017[366-412],
Principense,uˈmaju,V'CVGV,ˈmaju,u.ˈma.ju,ˈmaj.u,ˈma,ˈmaj,2,1,,maio,May,Bandeira2017[366-412],
Principense,uˈmaju,V'CVGV,ˈmaju,u.ˈma.ju,ˈmaj.u,ju,u,3,2,,maio,May,Bandeira2017[366-412],
Principense,uˈmasu,V'CVCV,ˈmaɾsu,u.ˈma.su,ˈmaɾ.su,u,ˈmaɾ,1,1,,março,March,Bandeira2017[366-412],
Principense,uˈmasu,V'CVCV,ˈmaɾsu,u.ˈma.su,ˈmaɾ.su,ˈma,-,2,-,,março,March,Bandeira2017[366-412],
Principense,uˈmasu,V'CVCV,ˈmaɾsu,u.ˈma.su,ˈmaɾ.su,su,su,3,2,,março,March,Bandeira2017[366-412],
Principense,uˈnot̠ʃi,V'CVCV,ˈnojtɨ,u.ˈno.t̠ʃi,ˈnoj.tɨ,u,-,1,-,,noite,good night,Bandeira2017[366-412],
Principense,uˈnot̠ʃi,V'CVCV,ˈnojtɨ,u.ˈno.t̠ʃi,ˈnoj.tɨ,ˈno,ˈnoj,2,1,,noite,good night,Bandeira2017[366-412],
Principense,uˈnot̠ʃi,V'CVCV,ˈnojtɨ,u.ˈno.t̠ʃi,ˈnoj.tɨ,t̠ʃi,tɨ,3,2,,noite,good night,Bandeira2017[366-412],
Principense,nɔˈvɛ̃bu,CV'CVCV,nuˈvẽbɾu,nɔ.ˈvɛ̃.bu,nu.ˈvẽ.bɾu,nɔ,nu,1,1,,novembro,November,Bandeira2017[366-412],
Principense,nɔˈvɛ̃bu,CV'CVCV,nuˈvẽbɾu,nɔ.ˈvɛ̃.bu,nu.ˈvẽ.bɾu,ˈvɛ̃,ˈvẽ,2,2,,novembro,November,Bandeira2017[366-412],
