Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllabe,PreviousSource,NextSource,TargetSyllabe,SourceWordSyl,TargetWordSyl,PositionSource,PositionTarget,SimplePositionSource,SimplePositionTarget,Process,TargetOrthopraphy,Translation,Reference
Sri Lanka Portuguese,kuma,kuˈmeɾ,ku.ma,ku.ˈmeɾ,ku,0,ma,ku,2,2,1,1,Initial,Initial,,comer,eat,Clements2012[37-41]
Sri Lanka Portuguese,kuma,kuˈmeɾ,ku.ma,ku.ˈmeɾ,ma,ku,2,ˈmeɾ,2,2,2,2,Final,Final,,comer,eat,Clements2012[37-41]
Sri Lanka Portuguese,o:ʋ,ˈovu,o:ʋ,ˈo.vu,o:ʋ,0,-,ˈo,1,2,1,1,Final,Initial,,ovo,egg,Clements2012[37-41]
Sri Lanka Portuguese,o:ʋ,ˈovu,o:ʋ,ˈo.vu,-,o:ʋ,1,vu,1,2,-,2,-,Final,,ovo,egg,Clements2012[37-41]
Sri Lanka Portuguese,o:j,ˈoʎu,o:j,ˈo.ʎu,o:j,0,-,ˈoʎu,1,2,1,1,Final,Initial,,olho,eye,Clements2012[37-41]
Sri Lanka Portuguese,o:j,ˈoʎu,o:j,ˈo.ʎu,-,o:j,1,ʎu,1,2,-,2,-,Final,,olho,eye,Clements2012[37-41]
Sri Lanka Portuguese,kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,kaj,0,-,kɐ,1,2,1,1,Final,Initial,,cair,fall,Clements2012[37-41]
Sri Lanka Portuguese,kaj,kɐˈiɾ,kaj,kɐ.ˈiɾ,-,kaj,1,ˈiɾ,1,2,-,2,-,Final,,cair,fall,Clements2012[37-41]
Sri Lanka Portuguese,lɔ:nd̠ʒi,ˈlõʒɨ,lɔ:n.d̠ʒi,ˈlõ.ʒɨ,lɔ:n,0,d̠ʒi,ˈlõ,2,2,1,1,Initial,Initial,,longe,far,Clements2012[37-41]
Sri Lanka Portuguese,lɔ:nd̠ʒi,ˈlõʒɨ,lɔ:n.d̠ʒi,ˈlõ.ʒɨ,d̠ʒi,lɔ:n,2,ʒɨ,2,2,2,2,Final,Final,,longe,far,Clements2012[37-41]
