Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceTargetEq,Audit,SourceWordSyl Length,TargetWordSyl Length,PositionSource,PositionTarget,Simple PositionSource,Simple PositionTarget,Previous source,Next source,Previous target,Next target,Process,TargetOrthography,Translation,Reference
Angolar,kɔˈθɔ,kuɾɐˈsɐ̃w̃,kɔ.ˈθɔ,ku.ɾɐ.ˈsɐ̃w̃,θɔ,sɐ̃w̃,FALSE,,2,3,2,3,Final,Final,-,2,ɾɐ,3,,coração,heart,Bandeira2017[366-412]
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,ku,kuʃ,FALSE,,2,2,1,1,Initial,Initial,0,pi,0,pu,,cuspo,spit,Bandeira2017[366-412]
Angolar,kuˈpi,ˈkuʃpu,kuˈ.pi,ˈkuʃ.pu,pi,pu,FALSE,,2,2,2,2,Final,Final,kuˈ,2,ˈkuʃ,2,,cuspo,spit,Bandeira2017[366-412]
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,lũ,lĩ,FALSE,,2,2,1,1,Initial,Initial,0,ga,0,ɡuɐ,,língua,tongue,Bandeira2017[366-412]
Angolar,ˈlũga,ˈlĩɡuɐ,ˈlũ.ga,ˈlĩ.ɡuɐ,ga,ɡuɐ,FALSE,,2,2,2,2,Final,Final,ˈlũ,2,ˈlĩ,2,,língua,tongue,Bandeira2017[366-412]
Angolar,ˈmo,ˈmɐ̃w̃,ˈmo,ˈmɐ̃w̃,mo,mɐ̃w̃,FALSE,,1,1,1,1,Final,Final,0,1,0,1,,mão,hand,Bandeira2017[366-412]
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,θɐ̃,sɐ̃,FALSE,,2,2,1,1,Initial,Initial,0,gɪ,0,ɡɨ,,sangue,blood,Bandeira2017[366-412]
Angolar,ˈθɐ̃gɪ,ˈsɐ̃ɡɨ,ˈθɐ̃.gɪ,ˈsɐ̃.ɡɨ,gɪ,ɡɨ,FALSE,,2,2,2,2,Final,Final,ˈθɐ̃,2,ˈsɐ̃,2,,sangue,blood,Bandeira2017[366-412]
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,ka,kɐ,FALSE,,2,3,1,1,Initial,Initial,0,θo,0,ˈʃo,,cachorro,dog,Bandeira2017[366-412]
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,θo,ʃo,FALSE,,2,3,2,2,Final,Medial,kaˈ,-,kɐ,ʀu,,cachorro,dog,Bandeira2017[366-412]
Angolar,kaˈθo,kɐˈʃoʀu,kaˈ.θo,kɐ.ˈʃo.ʀu,-,ʀu,FALSE,,2,3,-,3,Medial,Final,θo,3,ˈʃo,3,,cachorro,dog,Bandeira2017[366-412]
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,ˈka,ˈka,TRUE,,2,2,1,1,Initial,Initial,0,bɐ,0,bɾɐ,,cabra,goat,Bandeira2017[366-412]
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,ka,ka,TRUE,,,,1,1,,,,,,,,cabra,goat,Bandeira2017[366-412]
Angolar,ˈkabɐ,ˈkabɾɐ,ˈka.bɐ,ˈka.bɾɐ,bɐ,bɾɐ,FALSE,,2,2,2,2,Final,Final,ˈka,2,ˈka,2,,cabra,goat,Bandeira2017[366-412]
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,ma:,mɐ,FALSE,,2,3,1,1,Initial,Initial,0,-,0,ˈka,,macaco,monkey,Bandeira2017[366-412]
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,-,ka,FALSE,,2,3,-,2,-,Medial,ma:,ˈku,mɐ,ku,,macaco,monkey,Bandeira2017[366-412]
Angolar,ma:ˈku,mɐˈkaku,ma:.ˈku,mɐ.ˈka.ku,ku,ku,TRUE,,2,3,2,3,Final,Final,-,2,ˈka,3,,macaco,monkey,Bandeira2017[366-412]
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,ŋ,-,FALSE,,3,3,1,-,Initial,-,0,gɐ̃,0,gɐ,,galinha,chicken,Bandeira2017[366-412]
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,gɐ̃,gɐ,FALSE,,3,3,2,1,Medial,Initial,ŋ,-,gɐ,ˈli,,galinha,chicken,Bandeira2017[366-412]
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,-,li,FALSE,,3,3,-,2,-,Medial,gɐ̃,ˈɲa,gɐ,ɲɐ,,galinha,chicken,Bandeira2017[366-412]
Angolar,ŋgɐ̃ˈɲa,gɐˈliɲɐ,ŋ.gɐ̃.ˈɲa,gɐ.ˈli.ɲɐ,ɲa,ɲɐ,FALSE,,3,3,3,3,Final,Final,-,3,ˈli,3,,galinha,chicken,Bandeira2017[366-412]
Angolar,ŋˈgaθɐ,ˈgaɾsɐ,ŋ.ˈga.θɐ,ˈgaɾ.sɐ,ŋ,-,FALSE,,3,2,1,-,Initial,Initial,0,ˈga,0,sɐ,,garça,heron,Bandeira2017[366-412]
