Language,SourceWord,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,SourceWordSyl Length,TargetWordSyl Length,Source word length,Target word length,SourceWordSyl length,TargetWordSyl length,Word diff,Word bigger,Syll diff,SylNum bigger,Encontra espaço branco
,konʃe,kuɲɨˈseɾ,kon.ʃe,ku.ɲɨ.ˈseɾ,ʃe,ˈseɾ,2,3,5,7,2,3,-2,Target,-1,Target,#VALUE!
,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,sa,sɐ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,sabe,sɐˈbeɾ,sa.be,sɐ.ˈbeɾ,be,ˈbeɾ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,t̠ʃeɾɛ,ʃɐjˈɾaɾ,t̠ʃe.ɾɛ,ʃɐj.ˈɾaɾ,t̠ʃe,ʃɐj,2,2,4,6,2,2,-2,Target,0,Equal,#VALUE!
,t̠ʃeɾɛ,ʃɐjˈɾaɾ,t̠ʃe.ɾɛ,ʃɐj.ˈɾaɾ,tɾɛ,ˈɾaɾ,2,2,4,6,2,2,-2,Target,0,Equal,#VALUE!
,fma,fuˈmaɾ,f.ma,fu.ˈmaɾ,f,fu,2,2,3,5,2,2,-2,Target,0,Equal,#VALUE!
,fma,fuˈmaɾ,f.ma,fu.ˈmaɾ,ma,ˈmaɾ,2,2,3,5,2,2,-2,Target,0,Equal,#VALUE!
,lize,ˈlizu,li.ze,ˈli.zu,li,ˈli,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,lize,ˈlizu,li.ze,ˈli.zu,ze,zu,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,fine,ˈfinu,fi.ne,ˈfi.nu,fi,ˈfi,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,fine,ˈfinu,fi.ne,ˈfi.nu,ne,nu,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,kobɾa,ˈkɔbɾɐ,ko.bɾa,ˈkɔ.bɾɐ,ko,ˈkɔ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,kobɾa,ˈkɔbɾɐ,ko.bɾa,ˈkɔ.bɾɐ,bɾa,bɾɐ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,nɛve,ˈnɛvɨ,nɛ.ve,ˈnɛ.vɨ,nɛ,ˈnɛ,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,nɛve,ˈnɛvɨ,nɛ.ve,ˈnɛ.vɨ,ve,vɨ,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,elgun,aɫˈgũ,el.gun,aɫ.ˈgũ,el,aɫ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,elgun,aɫˈgũ,el.gun,aɫ.ˈgũ,gun,ˈgũ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,kuspi,kuʃˈpiɾ,kus.pi,kuʃ.ˈpiɾ,kus,kuʃ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,kuspi,kuʃˈpiɾ,kus.pi,kuʃ.ˈpiɾ,pi,ˈpiɾ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,ɾat̠ʃa,ʀɐˈʃaɾ,ɾa.t̠ʃa,ʀɐ.ˈʃaɾ,ɾa,ʀɐ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,ɾat̠ʃa,ʀɐˈʃaɾ,ɾa.t̠ʃa,ʀɐ.ˈʃaɾ,t̠ʃa,ˈʃaɾ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,paɾti,pɐɾˈtiɾ,paɾ.ti,pɐɾ.ˈtiɾ,paɾ,pɐɾ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,paɾti,pɐɾˈtiɾ,paɾ.ti,pɐɾ.ˈtiɾ,ti,ˈtiɾ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,kebɾa,kɨˈbɾaɾ,ke.bɾa,kɨ.ˈbɾaɾ,ke,kɨ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,kebɾa,kɨˈbɾaɾ,ke.bɾa,kɨ.ˈbɾaɾ,bɾa,ˈbɾaɾ,2,2,5,6,2,2,-1,Target,0,Equal,#VALUE!
,spɾeme,ʃpɾɨˈmeɾ,s.pɾe.me,ʃ.pɾɨ.ˈmeɾ,s,ʃ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,spɾeme,ʃpɾɨˈmeɾ,s.pɾe.me,ʃ.pɾɨ.ˈmeɾ,pɾe,pɾɨ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,spɾeme,ʃpɾɨˈmeɾ,s.pɾe.me,ʃ.pɾɨ.ˈmeɾ,me,ˈmeɾ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,sfakia,ʃfɐkiˈaɾ,s.fa.kia,ʃ.fɐ.ki.ˈaɾ,s,ʃ,3,4,6,7,3,4,-1,Target,-1,Target,#VALUE!
,sfakia,ʃfɐkiˈaɾ,s.fa.kia,ʃ.fɐ.ki.ˈaɾ,fa,fɐ,3,4,6,7,3,4,-1,Target,-1,Target,#VALUE!
,sfakia,ʃfɐkiˈaɾ,s.fa.kia,ʃ.fɐ.ki.ˈaɾ,kia,ki,3,4,6,7,3,4,-1,Target,-1,Target,#VALUE!
,sfakia,ʃfɐkiˈaɾ,s.fa.kia,ʃ.fɐ.ki.ˈaɾ,-,ˈaɾ,3,4,6,7,3,4,-1,Target,-1,Target,#VALUE!
,poinpɛ,ˈpõj u ˈpɛ,pojn.pɛ,ˈpõj. u. ˈpɛ,pojn,ˈpõj,2,3,6,8,2,3,-2,Target,-1,Target,#VALUE!
,pojnpɛ,ˈpõj u ˈpɛ,pojn.pɛ,ˈpõj. u. ˈpɛ,-,u,2,3,6,8,2,3,-2,Target,-1,Target,#VALUE!
,pojnpɛ,ˈpõj u ˈpɛ,pojn.pɛ,ˈpõj. u. ˈpɛ,pɛ,ˈpɛ,2,3,6,8,2,3,-2,Target,-1,Target,#VALUE!
,levanta,lɨvɐ̃ˈtaɾ,le.van.ta,lɨ.vɐ̃.ˈtaɾ,le,lɨ,3,3,7,8,3,3,-1,Target,0,Equal,#VALUE!
,levanta,lɨvɐ̃ˈtaɾ,le.van.ta,lɨ.vɐ̃.ˈtaɾ,van,vɐ̃,3,3,7,8,3,3,-1,Target,0,Equal,#VALUE!
,levanta,lɨvɐ̃ˈtaɾ,le.van.ta,lɨ.vɐ̃.ˈtaɾ,ta,ˈtaɾ,3,3,7,8,3,3,-1,Target,0,Equal,#VALUE!
,stɾela,iʃˈtɾelɐ,s.tɾe.la,iʃ.ˈtɾe.lɐ,s,iʃ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,stɾela,iʃˈtɾelɐ,s.tɾe.la,iʃ.ˈtɾe.lɐ,tɾe,ˈtɾe,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,stɾela,iʃˈtɾelɐ,s.tɾe.la,iʃ.ˈtɾe.lɐ,la,lɐ,3,3,6,7,3,3,-1,Target,0,Equal,#VALUE!
,pau,ˈpaw,pau,ˈpaw,pau,ˈpaw,1,1,3,3,1,1,0,Equal,0,Equal,#VALUE!
,spet,iʃˈpetu,s.pet,iʃ.ˈpe.tu,s,iʃ,2,3,4,6,2,3,-2,Target,-1,Target,#VALUE!
,spet,iʃˈpetu,s.pet,iʃ.ˈpe.tu,pet,ˈpe,2,3,4,6,2,3,-2,Target,-1,Target,#VALUE!
,spet,iʃˈpetu,s.pet,iʃ.ˈpe.tu,-,tu,2,3,4,6,2,3,-2,Target,-1,Target,#VALUE!
,pɛdɾa,ˈpedɾɐ,pɛ.dɾa,ˈpe.dɾɐ,pɛ,ˈpe,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,pɛdɾa,ˈpedɾɐ,pɛ.dɾa,ˈpe.dɾɐ,dɾa,dɾɐ,2,2,5,5,2,2,0,Equal,0,Equal,#VALUE!
,ɾet,ˈʀetu,ɾet,ˈʀe.tu,ɾet,ˈʀe,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,ɾet,ˈʀetu,ɾet,ˈʀe.tu,-,tu,1,2,3,4,1,2,-1,Target,-1,Target,#VALUE!
,t̠ʃpa,ʃuˈpaɾ,t̠ʃ.pa,ʃu.ˈpaɾ,t̠ʃ,ʃu,2,2,3,5,2,2,-2,Target,0,Equal,#VALUE!
,t̠ʃpa,ʃuˈpaɾ,t̠ʃ.pa,ʃu.ˈpaɾ,tpa,ˈpaɾ,2,2,3,5,2,2,-2,Target,0,Equal,#VALUE!
,mama,mɐˈmaɾ,ma.ma,mɐ.ˈmaɾ,ma,mɐ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,mama,mɐˈmaɾ,ma.ma,mɐ.ˈmaɾ,ma,ˈmaɾ,2,2,4,5,2,2,-1,Target,0,Equal,#VALUE!
,sol,ˈsɔl,sol,ˈsɔl,sol,ˈsɔl,1,1,3,3,1,1,0,Equal,0,Equal,#VALUE!
,int̠ʃa,ĩˈʃaɾ,in.t̠ʃa,ĩ.ˈʃaɾ,in,ĩ,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,int̠ʃa,ĩˈʃaɾ,in.t̠ʃa,ĩ.ˈʃaɾ,t̠ʃa,ˈʃaɾ,2,2,4,4,2,2,0,Equal,0,Equal,#VALUE!
,inflama,ĩflɐˈmaɾ,in.fla.ma,ĩ.flɐ.ˈmaɾ,in,ĩ,3,3,7,7,3,3,0,Equal,0,Equal,#VALUE!
