Language,SourceWord,SourceWord CV,TargetWord,SourceWordSyl,TargetWordSyl,SourceSyllable,TargetSyllable,PositionSource,PositionTarget,Process,TemplateSource,TemplateTarget,TargetOrthography,Translation,Reference,Notes
Cape Verdean Sao Vicente,stɾagɔd,CCCVCVC,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,s,ʃ,1,1,,C,C,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾagɔd,CCCVCVC,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,tɾa,tɾɐ,2,2,,CCV,CCV,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾagɔd,CCCVCVC,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,gɔ,ˈga,3,3,,CV,CV,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,stɾagɔd,CCCVCVC,ʃtɾɐˈgadu,s.tɾa.gɔ.d,ʃ.tɾɐ.ˈga.du,d,du,4,4,metathesis,C,CV,estragado,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,podɾ,CVCC,ˈpodɾɨ,po.dɾ,ˈpo.dɾɨ,po,ˈpo,1,1,,CV,CV,podre,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,podɾ,CVCC,ˈpodɾɨ,po.dɾ,ˈpo.dɾɨ,dɾ,dɾɨ,2,2,,CC,CCV,podre,rotten,Baptista2019[271-277],
Cape Verdean Sao Vicente,sfɾega,CCCVCV,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,s,iʃ,1,1,,C,VC,esfregar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,sfɾega,CCCVCV,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,fɾe,fɾɨ,2,2,,CCV,CCV,esfregar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,sfɾega,CCCVCV,iʃfɾɨˈɡaɾ,s.fɾe.ga,iʃ.fɾɨ.ˈɡaɾ,ga,ˈɡaɾ,3,3,,CV,CVC,esfregar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʃuɾia,CVCVg,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,ʃu,ẽ,1,1,,CV,V,enxugar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʃuɾia,CVCVg,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,ɾia,ʃu,2,2,,CVV,CV,enxugar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,ʃuɾia,CVCVg,ẽʃuˈɡaɾ,ʃu.ɾi.a,ẽ.ʃu.ˈɡaɾ,a,ˈɡaɾ,3,3,,V,CVC,enxugar,rub,Baptista2019[271-277],
Cape Verdean Sao Vicente,sal,CVC,ˈsal,sal,ˈsal,sal,ˈsal,1,1,,CVC,CVC,sal,salt,Baptista2019[271-277],
Cape Verdean Sao Vicente,aɾea,VCVV,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,a,ɐ,1,1,,V,V,areia,sand,Baptista2019[271-277],
Cape Verdean Sao Vicente,aɾea,VCVV,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,ɾe,ˈɾɐj,2,2,,CV,CVg,areia,sand,Baptista2019[271-277],
Cape Verdean Sao Vicente,aɾea,VCVV,ɐˈɾɐjɐ,a.ɾe.a,ɐ.ˈɾɐj.ɐ,a,ɐ,3,3,,V,V,areia,sand,Baptista2019[271-277],
Cape Verdean Sao Vicente,dze,CCV,diˈzeɾ,dze,di.ˈzeɾ,dze,di,1,1,metathesis,CCV,CV,dizer,say,Baptista2019[271-277],
Cape Verdean Sao Vicente,dze,CCV,diˈzeɾ,dze,di.ˈzeɾ,-,ˈzeɾ,-,2,metathesis,-,CVC,dizer,say,Baptista2019[271-277],
Cape Verdean Sao Vicente,kosa,CVCV,kuˈsaɾ,ko.sa,ku.ˈsaɾ,ko,ku,1,1,,CV,CV,coçar,scratch,Baptista2019[271-277],
Cape Verdean Sao Vicente,kosa,CVCV,kuˈsaɾ,ko.sa,ku.ˈsaɾ,sa,ˈsaɾ,2,2,,CV,CVC,coçar,scratch,Baptista2019[271-277],
Cape Verdean Sao Vicente,maɾ,CVC,ˈmaɾ,maɾ,ˈmaɾ,maɾ,ˈmaɾ,1,1,,CVC,CVC,mar,sea,Baptista2019[271-277],
Cape Verdean Sao Vicente,oja,VgV,ɔˈʎaɾ,oj.a,ɔ.ˈʎaɾ,o,ɔ,1,1,,V,V,olhar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,oja,VgV,ɔˈʎaɾ,oj.a,ɔ.ˈʎaɾ,ja,ˈʎaɾ,2,2,,CV,CVC,olhar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,spia,CCVg,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,s,iʃ,1,1,,C,VC,espiar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,spia,CCVg,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,pi,ˈpi,2,2,,CV,CV,espiar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,spia,CCVg,iʃˈpiaɾ,s.pi.a,iʃ.ˈpi.aɾ,a,aɾ,3,3,,V,VC,espiar,see,Baptista2019[271-277],
Cape Verdean Sao Vicente,sment,CCVC,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,s,sɨ,1,1,,C,CV,semente,seed,Baptista2019[271-277],
Cape Verdean Sao Vicente,sment,CCVC,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,men,ˈmẽ,2,2,,CV,CV,semente,seed,Baptista2019[271-277],
Cape Verdean Sao Vicente,sment,CCVC,sɨˈmẽtɨ,s.men.t,sɨ.ˈmẽ.tɨ,t,tɨ,3,3,assimilation,C,CV,semente,seed,Baptista2019[271-277],
Cape Verdean Sao Vicente,kozɛ,CVCV,kuˈzeɾ,ko.zɛ,ku.ˈzeɾ,ko,ku,1,1,metathesis,CV,CV,cozer,sew / cook,Baptista2019[271-277],
Cape Verdean Sao Vicente,kozɛ,CVCV,kuˈzeɾ,ko.zɛ,ku.ˈzeɾ,zɛ,ˈzeɾ,2,2,,CV,CVC,cozer,sew / cook,Baptista2019[271-277],
Cape Verdean Sao Vicente,molɔd,CVCVC,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,-,ɐ,-,1,,-,V,amolado,sharp,Baptista2019[271-277],
Cape Verdean Sao Vicente,molɔd,CVCVC,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,mol,mu,1,2,,CVC,CV,amolado,sharp,Baptista2019[271-277],
Cape Verdean Sao Vicente,molɔd,CVCVC,ɐmuˈɫadu,mol.ɔ.d,ɐ.mu.ˈɫa.du,ɔ,ˈɫa,2,3,,V,CV,amolado,sharp,Baptista2019[271-277],
